iter	frame	n_test	mean_returns	std_returns	max_returns	min_returns	n_test_train	mean_returns_train	std_returns_train	max_returns_train	min_returns_train	actor_loss	entropy_loss	value_loss	training_time	evaluation_time
0	0	10	1.0	1.1832159566199232	3.0	0.0	10	1.3	1.4866068747318506	4.0	0.0	0	0	0	0.0	2.5949999740500007
4	65536	10	0.7	1.004987562112089	3.0	0.0	10	1.2	1.4696938456699067	4.0	0.0	0.006923439533427009	-2.607045106318227	0.13818385784316595	5.0309999874225	2.0859999791400003
8	131072	10	0.8	0.6000000000000001	2.0	0.0	10	1.2	1.4000000000000001	4.0	0.0	-0.004635481646015026	-2.5929402433118325	0.07307703144242347	3.9929999900175	1.8369999816300002
12	196608	10	2.3	2.0024984394500787	7.0	0.0	10	0.9	0.8306623862918076	2.0	0.0	-0.006516922890344722	-2.584405071764196	0.06192262834845179	4.05549998986125	2.3529999764700005
16	262144	10	2.3	2.0024984394500787	7.0	0.0	10	0.6	1.2	4.0	0.0	-0.008219993589947877	-2.537667778366711	0.05056805116529023	3.9674999900812504	3.457999965420001
20	327680	10	0.8	1.4000000000000001	4.0	0.0	10	1.1	1.374772708486752	4.0	0.0	-0.009783182069028201	-2.5513849081918276	0.04053820921461956	3.8877499902806245	2.5499999745000004
24	393216	10	0.5	0.9219544457292888	3.0	0.0	10	1.1	1.445683229480096	4.0	0.0	-0.010593173883644403	-2.540597758922576	0.04537655769685101	3.606249990984375	1.6899999831000003
28	458752	10	0.8	0.8717797887081347	3.0	0.0	10	0.9	2.071231517720798	7.0	0.0	-0.010975088539825867	-2.521047713593293	0.04372130593916077	3.17249999206875	2.1839999781600006
32	524288	10	1.8	2.749545416973504	8.0	0.0	10	1.7	1.268857754044952	4.0	0.0	-0.012881580552121984	-2.50715607875298	0.033852522878796164	3.19599999201	2.2119999778800006
36	589824	10	0.7	1.1874342087037917	4.0	0.0	10	1.0	1.1832159566199232	3.0	0.0	-0.012672077063945806	-2.5103278604515125	0.03054468766079933	3.245999991885	2.3069999769300003
