iter	frame	n_test	mean_returns	std_returns	max_returns	min_returns	n_test_train	mean_returns_train	std_returns_train	max_returns_train	min_returns_train	actor_loss	entropy_loss	value_loss	training_time	evaluation_time
0	0	10	4.0	4.898979485566356	10.0	0.0	10	3.0	4.58257569495584	10.0	0.0	0	0	0	0.0	1.00299998997
4	65536	10	4.0	4.898979485566356	10.0	0.0	10	4.0	4.898979485566356	10.0	0.0	-0.002601398237283067	-2.692246886310674	1.1686869709466439	5.63649998590875	0.61499999385
8	131072	10	1.0	3.0	10.0	0.0	10	2.0	4.0	10.0	0.0	-0.0018112247051181437	-2.655791468641678	1.2012043097357397	4.2107499894731255	1.5269999847300002
12	196608	10	3.0	4.58257569495584	10.0	0.0	10	5.0	5.0	10.0	0.0	-0.00164262828167181	-2.631682524804322	0.8371427095554462	4.759249988101875	0.9359999906400002
16	262144	10	3.0	4.58257569495584	10.0	0.0	10	1.0	3.0	10.0	0.0	-0.0008120785046900503	-2.5906917499784092	0.4210466830552618	5.110999987222501	0.5549999944500001
20	327680	10	3.0	4.58257569495584	10.0	0.0	10	0.0	0.0	0.0	0.0	-0.001459046195274118	-2.57593880566944	0.1263934428051081	4.3329999891675	0.7729999922700002
24	393216	10	5.0	5.0	10.0	0.0	10	1.0	3.0	10.0	0.0	-0.0016729652535484314	-2.58560695720601	0.1863649055012397	4.61749998845625	0.9639999903600002
28	458752	10	0.0	0.0	0.0	0.0	10	0.0	0.0	0.0	0.0	-0.002290008640318519	-2.5690853493716435	0.15054886142396806	4.40249998899375	1.3529999864700002
32	524288	10	3.0	4.58257569495584	10.0	0.0	10	3.0	4.58257569495584	10.0	0.0	-0.001984558337219554	-2.583700480291326	0.2054615781118033	4.081249989796875	0.71599999284
36	589824	10	4.0	4.898979485566356	10.0	0.0	10	4.0	4.898979485566356	10.0	0.0	-0.0019996557067354912	-2.585382198024693	0.15761241334556106	4.486749988783125	0.5369999946300001
40	655360	10	4.0	4.898979485566356	10.0	0.0	10	1.0	3.0	10.0	0.0	-0.0022384931529907466	-2.5890736055657424	0.11263045851753015	4.2649999893374995	0.4599999954000001
44	720896	10	4.0	4.898979485566356	10.0	0.0	10	1.0	3.0	10.0	0.0	-0.0021085099673884304	-2.5953735830663196	0.0926203426886107	3.829749990425625	0.5259999947400001
48	786432	10	2.0	4.0	10.0	0.0	10	3.0	4.58257569495584	10.0	0.0	-0.001762606904289706	-2.598913835711761	0.07053663445057093	4.038749989903125	0.26199999738000007
52	851968	10	1.0	3.0	10.0	0.0	10	2.0	4.0	10.0	0.0	-0.0019512642900522375	-2.604476687537532	0.03828418475642612	4.572749988568125	0.57599999424
56	917504	10	3.0	4.58257569495584	10.0	0.0	10	3.0	4.58257569495584	10.0	0.0	-0.001475899662028461	-2.606461624032947	0.06204673301868779	4.164499989588751	0.7919999920800002
60	983040	10	5.0	5.0	10.0	0.0	10	2.0	4.0	10.0	0.0	-0.0022575284211368606	-2.6085090783501443	0.053779838368282484	4.722749988193125	0.8909999910900002
64	1048576	10	6.0	4.898979485566356	10.0	0.0	10	3.0	4.58257569495584	10.0	0.0	-0.002151258631559914	-2.6336276429135044	0.06997736818204307	4.25449998936375	0.6789999932100002
68	1114112	10	3.0	4.58257569495584	10.0	0.0	10	2.0	4.0	10.0	0.0	-0.001704487362504958	-2.6232288601248803	0.13965412289932985	4.028749989928126	0.46999999530000003
