iter	frame	n_test	mean_returns	std_returns	max_returns	min_returns	n_test_train	mean_returns_train	std_returns_train	max_returns_train	min_returns_train	actor_loss	entropy_loss	value_loss	training_time	evaluation_time
0	0	10	5.0	5.0	10.0	0.0	10	0.0	0.0	0.0	0.0	0	0	0	0.0	27.041999729580006
4	65536	10	6.0	4.898979485566356	10.0	0.0	10	3.0	4.58257569495584	10.0	0.0	0.007634057631056735	-2.437373801811956	0.3005046300897894	11.10149997224625	29.890999701090003
8	131072	10	3.3	4.473253849269008	10.0	0.0	10	3.0	4.58257569495584	10.0	0.0	-0.00273285438229656	-2.4811730779606402	0.2860303103315408	10.3489999741275	31.105999688940006
12	196608	10	2.0	4.0	10.0	0.0	10	2.0	4.0	10.0	0.0	-0.003232154172683125	-2.5462109741896493	0.2745361881975956	11.341999971645	33.11299966887
16	262144	10	3.0	4.58257569495584	10.0	0.0	10	3.0	4.58257569495584	10.0	0.0	-0.0043528105229611	-2.5955498960890737	0.2918651209219254	10.75249997311875	33.40099966599001
20	327680	10	5.0	5.0	10.0	0.0	10	2.0	4.0	10.0	0.0	-0.0044063995054135895	-2.6135307820895823	0.27833932751684287	10.37049997407375	33.420999665790006
24	393216	10	4.0	4.898979485566356	10.0	0.0	10	6.0	4.898979485566356	10.0	0.0	-0.004863977214678243	-2.6135557961721703	0.3390590087933561	11.83249997041875	25.970999740290004
28	458752	10	5.0	5.0	10.0	0.0	10	4.0	4.898979485566356	10.0	0.0	-0.005477344044301692	-2.5978013473029935	0.2864801366515064	12.771749968070626	30.120999698790005
32	524288	10	4.0	4.898979485566356	10.0	0.0	10	3.0	4.58257569495584	10.0	0.0	-0.006279054259673567	-2.578187912433999	0.2429920801018878	12.559749968600624	26.725999732740004
36	589824	10	5.0	5.0	10.0	0.0	10	6.0	4.898979485566356	10.0	0.0	-0.006867643056963756	-2.5417707534963645	0.27817728569316963	11.949749970125625	31.094999689050002
40	655360	10	4.0	4.898979485566356	10.0	0.0	10	0.0	0.0	0.0	0.0	-0.005812511914580328	-2.551160953673215	0.21340070554005433	10.8309999729225	29.486999705130003
44	720896	10	3.0	4.58257569495584	10.0	0.0	10	5.0	5.0	10.0	0.0	-0.005090162026514927	-2.4661608261281294	0.23909518803152346	13.1469999671325	26.661999733380004
48	786432	10	4.0	4.898979485566356	10.0	0.0	10	2.0	4.0	10.0	0.0	-0.006209949222425553	-2.4641126068846573	0.24326936595401796	13.112249967219377	25.506999744930006
52	851968	10	4.0	4.898979485566356	10.0	0.0	10	4.0	4.898979485566356	10.0	0.0	-0.006027482801051814	-2.4706185084988044	0.23378733869069376	12.81649996795875	28.040999719590005
56	917504	10	6.0	4.898979485566356	10.0	0.0	10	2.0	4.0	10.0	0.0	-0.00648850977382322	-2.4884515402109093	0.222015737377574	11.2149999719625	26.67599973324
60	983040	10	6.0	4.898979485566356	10.0	0.0	10	4.0	4.898979485566356	10.0	0.0	-0.00692847934188327	-2.4333107642778242	0.2317952521214331	12.706499968233748	32.881999671180004
64	1048576	10	4.0	4.898979485566356	10.0	0.0	10	2.0	4.0	10.0	0.0	-0.005693218544075784	-2.447486810131234	0.21498386140536	13.236749966908125	28.046999719530007
68	1114112	10	4.0	4.898979485566356	10.0	0.0	10	1.0	3.0	10.0	0.0	-0.005606118193728662	-2.366583980373388	0.18282135186054288	12.6629999683425	20.781999792180002
72	1179648	10	3.0	4.58257569495584	10.0	0.0	10	1.0	3.0	10.0	0.0	-0.006311893986346224	-2.393900791554631	0.20233804839107722	12.531249968671876	25.714999742850004
76	1245184	10	1.0	3.0	10.0	0.0	10	2.0	4.0	10.0	0.0	-0.006824960970229756	-2.3415182329758744	0.21577513572685353	12.256499969358751	25.688999743110003
80	1310720	10	5.0	5.0	10.0	0.0	10	3.0	4.58257569495584	10.0	0.0	-0.0061515149809221095	-2.4121700473100596	0.2576888717132105	12.293749969265624	29.070999709290007
84	1376256	10	6.0	4.898979485566356	10.0	0.0	10	5.0	5.0	10.0	0.0	-0.0069397355951318854	-2.444615634524488	0.21466646465409853	10.881249972796875	32.907999670920006
88	1441792	10	3.0	4.58257569495584	10.0	0.0	10	4.3	4.73392015141785	10.0	0.0	-0.00695878406186511	-2.4228603241304003	0.27272885771110883	11.245999971885	32.091999679080004
92	1507328	10	3.0	4.58257569495584	10.0	0.0	10	0.0	0.0	0.0	0.0	-0.007713519404614894	-2.386324229091183	0.29107087987237074	10.980249972549375	30.739999692600005
96	1572864	10	3.0	4.58257569495584	10.0	0.0	10	6.0	4.898979485566356	10.0	0.0	-0.007116491488448686	-2.420102129127814	0.27872619526661774	12.579249968551876	14.226999857730002
100	1638400	10	2.0	4.0	10.0	0.0	10	5.0	5.0	10.0	0.0	-0.006963237093443679	-2.43851753298869	0.22016534206958013	11.915749970210625	27.899999721000004
104	1703936	10	4.3	4.73392015141785	10.0	0.0	10	6.0	4.898979485566356	10.0	0.0	-0.007255992041338946	-2.4358135186081986	0.23259773064154918	11.461249971346875	30.927999690720007
108	1769472	10	4.0	4.898979485566356	10.0	0.0	10	4.0	4.898979485566356	10.0	0.0	-0.006279013533713486	-2.3531283957295184	0.2547532091583184	10.5129999737175	20.715999792840005
112	1835008	10	4.0	4.898979485566356	10.0	0.0	10	2.0	4.0	10.0	0.0	-0.006555951620535595	-2.369558932633731	0.216323932920711	11.8109999704725	28.431999715680004
116	1900544	10	5.0	5.0	10.0	0.0	10	5.0	5.0	10.0	0.0	-0.006911397906037643	-2.3866797136761133	0.203559765105352	11.218249971954377	32.49299967507001
120	1966080	10	6.0	4.898979485566356	10.0	0.0	10	6.0	4.898979485566356	10.0	0.0	-0.006246444232557447	-2.3555109150737588	0.24057256940108948	11.312249971719375	27.460999725390003
124	2031616	10	1.0	3.0	10.0	0.0	10	4.0	4.898979485566356	10.0	0.0	-0.007352466461414136	-2.3499726551310096	0.2161882356515338	10.397749974005626	20.505999794940003
128	2097152	10	4.0	4.898979485566356	10.0	0.0	10	3.0	4.58257569495584	10.0	0.0	-0.006803296888896634	-2.36617932444005	0.21056482271271015	11.799749970500626	27.958999720410006
132	2162688	10	3.0	4.58257569495584	10.0	0.0	10	3.0	4.58257569495584	10.0	0.0	-0.007406280326739221	-2.3718750449531183	0.21732337289399103	12.10399996974	18.282999817170005
136	2228224	10	4.0	4.898979485566356	10.0	0.0	10	3.0	4.58257569495584	10.0	0.0	-0.006510084176553437	-2.3826966034870902	0.22420039336034742	12.818249967954374	16.642999833570002
140	2293760	10	1.0	3.0	10.0	0.0	10	5.0	5.0	10.0	0.0	-0.006686341045892001	-2.3963783331202677	0.21351655585950727	12.308249969229376	22.774999772250002
144	2359296	10	2.0	4.0	10.0	0.0	10	4.0	4.898979485566356	10.0	0.0	-0.0074723496210428245	-2.437432306254324	0.15496212506294352	11.361249971596877	20.655999793440003
148	2424832	10	2.0	4.0	10.0	0.0	10	5.0	5.0	10.0	0.0	-0.007349287554302404	-2.3940194445341514	0.1849479283168731	13.353249966616874	25.352999746470005
152	2490368	10	3.0	4.58257569495584	10.0	0.0	10	4.0	4.898979485566356	10.0	0.0	-0.007080805465365317	-2.3748052813122507	0.22961027685023705	12.613499968466252	23.122999768770004
156	2555904	10	4.0	4.898979485566356	10.0	0.0	10	4.0	4.898979485566356	10.0	0.0	-0.007359247971626664	-2.4306332640301482	0.18538456315106253	13.151249967121874	22.257999777420004
160	2621440	10	6.0	4.898979485566356	10.0	0.0	10	5.0	5.0	10.0	0.0	-0.007029882163377063	-2.4513847552169894	0.13794441007503416	14.434499963913751	23.218999767810004
164	2686976	10	3.0	4.58257569495584	10.0	0.0	10	5.0	5.0	10.0	0.0	-0.006836432748256817	-2.449578279995067	0.16189152466309512	12.570499968573749	25.674999743250005
168	2752512	10	4.0	4.898979485566356	10.0	0.0	10	1.0	3.0	10.0	0.0	-0.007041312525440729	-2.4060614156203526	0.18303040320009772	12.581249968546876	30.505999694940005
172	2818048	10	2.0	4.0	10.0	0.0	10	6.0	4.898979485566356	10.0	0.0	-0.006720759209108038	-2.392653122295054	0.17124561179818568	12.587249968531877	24.428999755710002
176	2883584	10	5.0	5.0	10.0	0.0	10	4.0	4.898979485566356	10.0	0.0	-0.006602939239422766	-2.4607373796323664	0.16095609526646387	12.59449996851375	29.463999705360003
180	2949120	10	3.0	4.58257569495584	10.0	0.0	10	3.0	4.58257569495584	10.0	0.0	-0.007398814650956345	-2.4885539111883004	0.1446812980036726	11.479749971300624	32.86799967132001
184	3014656	10	6.0	4.898979485566356	10.0	0.0	10	4.0	4.898979485566356	10.0	0.0	-0.008153973929801793	-2.4759084008538546	0.16487420325312682	11.083249972291874	31.155999688440005
188	3080192	10	3.0	4.58257569495584	10.0	0.0	10	5.0	5.0	10.0	0.0	-0.007380900338668028	-2.538612889482386	0.15090824367148292	10.781499973046252	23.23199976768
192	3145728	10	6.0	4.898979485566356	10.0	0.0	10	4.0	4.898979485566356	10.0	0.0	-0.007774790104221696	-2.492156674204944	0.1784152721334664	11.3689999715775	29.829999701700004
196	3211264	10	3.0	4.58257569495584	10.0	0.0	10	5.0	5.0	10.0	0.0	-0.006988905461669561	-2.4509885631432087	0.1901996534430048	11.905999970235	25.516999744830002
200	3276800	10	3.0	4.58257569495584	10.0	0.0	10	3.0	4.58257569495584	10.0	0.0	-0.007260626018707404	-2.422373617436484	0.2046749749939027	12.970249967574375	24.386999756130006
204	3342336	10	4.0	4.898979485566356	10.0	0.0	10	4.0	4.898979485566356	10.0	0.0	-0.008044091256195943	-2.4589504895033043	0.19123568647722153	12.424499968938752	22.89099977109
208	3407872	10	4.0	4.898979485566356	10.0	0.0	10	7.0	4.58257569495584	10.0	0.0	-0.007141809348330477	-2.49249952508871	0.16608441588291006	12.524999968687501	21.590999784090005
212	3473408	10	7.0	4.58257569495584	10.0	0.0	10	4.0	4.898979485566356	10.0	0.0	-0.007994708179847002	-2.4760518915855556	0.1823121171720407	12.2649999693375	28.281999717180003
216	3538944	10	6.0	4.898979485566356	10.0	0.0	10	3.0	4.58257569495584	10.0	0.0	-0.006375754743751806	-2.471382972837345	0.1919983514229382	12.265249969336875	27.868999721310004
220	3604480	10	3.0	4.58257569495584	10.0	0.0	10	5.0	5.0	10.0	0.0	-0.007385614618355346	-2.4726084989713906	0.16787756465489342	12.331749969170625	23.473999765260004
224	3670016	10	6.0	4.898979485566356	10.0	0.0	10	4.0	4.898979485566356	10.0	0.0	-0.005950560356103294	-2.471596466740801	0.1575929988011471	13.800249965499376	25.680999743190004
228	3735552	10	5.0	5.0	10.0	0.0	10	3.0	4.58257569495584	10.0	0.0	-0.0069507173701554925	-2.4724791966286714	0.22292695293053924	11.895749970260624	29.634999703650006
232	3801088	10	6.0	4.898979485566356	10.0	0.0	10	3.0	4.58257569495584	10.0	0.0	-0.00609728436814748	-2.4710550951370505	0.18134936292629353	11.081999972295	30.590999694090005
236	3866624	10	3.0	4.58257569495584	10.0	0.0	10	3.0	4.58257569495584	10.0	0.0	-0.006014311820136905	-2.45223949327356	0.21415774289150427	10.666749973333125	30.854999691450004
240	3932160	10	4.0	4.898979485566356	10.0	0.0	10	6.0	4.898979485566356	10.0	0.0	-0.006991183818656842	-2.4657368756745743	0.18546580754151193	11.286999971782501	29.635999703640003
244	3997696	10	5.0	5.0	10.0	0.0	10	5.0	5.0	10.0	0.0	-0.007594164595924262	-2.465359747153012	0.1938986733043375	12.975749967560626	25.660999743390004
248	4063232	10	4.0	4.898979485566356	10.0	0.0	10	3.0	4.58257569495584	10.0	0.0	-0.006880603843951831	-2.416009505338135	0.20398902495129426	12.484249968789376	30.873999691260003
252	4128768	10	1.0	3.0	10.0	0.0	10	1.0	3.0	10.0	0.0	-0.008059054155101247	-2.4211772205890427	0.20412225351715704	11.200749971998125	32.730999672690004
256	4194304	10	5.0	5.0	10.0	0.0	10	6.0	4.898979485566356	10.0	0.0	-0.006878979197801649	-2.4283499963535555	0.19790156059389163	10.821249972946875	30.886999691130004
260	4259840	10	5.0	5.0	10.0	0.0	10	5.0	5.0	10.0	0.0	-0.006933967292333517	-2.430065909768332	0.18528883545281594	10.74249997314375	28.341999716580002
264	4325376	10	3.0	4.58257569495584	10.0	0.0	10	2.0	4.0	10.0	0.0	-0.007990707535783686	-2.4540462292658036	0.15511445272650326	11.645249970886876	27.255999727440006
268	4390912	10	5.0	5.0	10.0	0.0	10	6.0	4.898979485566356	10.0	0.0	-0.007065797522219087	-2.4263910648679476	0.16698906654304754	11.888999970277501	27.581999724180005
