iter	frame	n_test	mean_returns	std_returns	max_returns	min_returns	n_test_train	mean_returns_train	std_returns_train	max_returns_train	min_returns_train	actor_loss	entropy_loss	value_loss	training_time	evaluation_time
0	0	10	3.5	4.924428900898052	11.0	0.0	10	2.2	4.4	11.0	0.0	0	0	0	0.0	28.793999712060007
4	65536	10	1.2	3.2802438933713454	11.0	0.0	10	2.4	4.317406628984581	11.0	0.0	0.0017062815627207255	-2.612794299648234	0.13125770327160358	11.884749970288125	26.511999734880003
8	131072	10	1.5	3.2326459750489227	11.0	0.0	10	1.1	3.3000000000000003	11.0	0.0	-0.002405486990990382	-2.5657520316352063	0.09578286836012595	14.423249963941874	28.841999711580005
12	196608	10	1.3	3.2572994949804657	11.0	0.0	10	4.6	5.44426303552648	12.0	0.0	-0.0033324421379969196	-2.5729291163188304	0.15032394248202433	11.18549997203625	31.654999683450008
16	262144	10	0.0	0.0	0.0	0.0	10	3.7	5.040833264451424	12.0	0.0	-0.002014747599880665	-2.5781277216768896	0.08905748109142832	11.421249971446876	28.359999716400004
20	327680	10	3.6	4.882622246293481	11.0	0.0	10	1.8	3.4871191548325386	12.0	0.0	-0.002176333907376895	-2.651325764479228	0.10553279791557821	10.955499972611252	28.001999719980002
24	393216	10	1.4	3.261901286060018	11.0	0.0	10	3.5	5.142956348249516	12.0	0.0	-0.002710076834491345	-2.6599170041293774	0.1319809860878048	10.950499972623751	27.894999721050006
28	458752	10	1.5	3.2015621187164243	11.0	0.0	10	3.7	5.23545604508337	12.0	0.0	-0.0023995357245365466	-2.658080309352557	0.12227578789739901	10.88649997278375	27.760999722390004
32	524288	10	2.5	4.295346318982906	11.0	0.0	10	0.2	0.4000000000000001	1.0	0.0	-0.003318846072597702	-2.66801561884109	0.1414962892350808	10.987749972530626	27.713999722860002
36	589824	10	2.5	4.295346318982906	11.0	0.0	10	3.5	4.924428900898052	11.0	0.0	-0.0032623977285399473	-2.668410735547738	0.11766155870026576	11.9169999702075	23.993999760060003
40	655360	10	2.6	4.476605857119878	12.0	0.0	10	4.1	5.223983154643591	13.0	0.0	-0.0033841312975822864	-2.669549171845195	0.1380428937119992	12.491499968771251	21.658999783410003
44	720896	10	1.4	3.2310988842807022	11.0	0.0	10	3.9	4.72122865364515	11.0	0.0	-0.003308949448444477	-2.6581129652473097	0.17171918975418451	13.243249966891876	30.110999698890005
48	786432	10	2.6	4.5431266766402185	12.0	0.0	10	3.4	4.983974317750844	11.0	0.0	-0.004176923861621865	-2.643218430104691	0.12780929836665414	12.44049996889875	30.555999694440004
52	851968	10	3.6	5.083306010855534	12.0	0.0	10	3.6	5.083306010855534	12.0	0.0	-0.0037441733398474483	-2.644335781259061	0.14078787250995617	10.80049997299875	25.645999743540006
56	917504	10	1.7	3.1638584039112754	11.0	0.0	10	2.5	4.295346318982906	11.0	0.0	-0.003794050651381856	-2.6527443003871434	0.13639022119397143	11.394999971512501	27.601999723980004
60	983040	10	0.4	0.48989794855663565	1.0	0.0	10	2.4	4.31740662898458	11.0	0.0	-0.0034729721151982008	-2.6510504853944155	0.10594488613290426	11.522249971194375	27.686999723130004
64	1048576	10	2.0	3.1622776601683795	11.0	0.0	10	2.3	4.360045871318328	11.0	0.0	-0.004156126987124773	-2.6437403060225484	0.12821473804674366	10.80049997299875	27.779999722200007
68	1114112	10	4.7	5.158488150611572	11.0	0.0	10	1.8	3.4871191548325386	12.0	0.0	-0.003738066501293242	-2.620013355935883	0.06573548772618883	11.6969999707575	24.760999752390003
72	1179648	10	3.6	4.862098312457287	11.0	0.0	10	4.6	5.238320341483519	11.0	0.0	-0.004832585324747784	-2.607166955596823	0.12731232632488043	12.327749969180624	22.117999778820003
76	1245184	10	1.7	3.1953090617340916	11.0	0.0	10	3.8	4.975942121849891	12.0	0.0	-0.004898250058830845	-2.596178253221284	0.09810504704312775	12.236499969408749	21.502999784970005
80	1310720	10	1.5	3.2939338184001206	11.0	0.0	10	3.7	5.040833264451424	12.0	0.0	-0.004710680908944723	-2.5719080837868806	0.12428405763218091	12.39449996901375	20.898999791010006
84	1376256	10	1.4	3.2310988842807022	11.0	0.0	10	4.5	5.315072906367325	11.0	0.0	-0.005121965181460869	-2.5903087330146493	0.14990600235750895	12.521999968695	20.771999792280003
88	1441792	10	3.8	4.749736834815167	11.0	0.0	10	1.7	3.2264531609803355	11.0	0.0	-0.00525591087419467	-2.5940966702779025	0.16138299215300903	12.656249968359376	20.322999796770002
92	1507328	10	1.4	3.2310988842807022	11.0	0.0	10	3.0	4.33589667773576	12.0	0.0	-0.005368206115889279	-2.5888270360514936	0.1504739928678638	12.684999968287501	20.749999792500002
96	1572864	10	2.6	4.24735211631906	11.0	0.0	10	2.7	4.450842616853578	12.0	0.0	-0.004138234223797587	-2.6090505095585397	0.13071363130774963	12.823499967941249	20.692999793070005
100	1638400	10	0.0	0.0	0.0	0.0	10	6.8	5.362835071116769	12.0	0.0	-0.005646442266291431	-2.6126215678712197	0.10515156643301155	12.825499967936251	20.480999795190005
104	1703936	10	1.5	3.2015621187164243	11.0	0.0	10	3.0	4.0743097574926725	11.0	0.0	-0.005441129575692818	-2.5833139541041055	0.12145340421989777	12.988999967527501	20.288999797110005
108	1769472	10	3.5	5.142956348249516	12.0	0.0	10	4.7	5.158488150611572	11.0	0.0	-0.00446833452056571	-2.5938036165913143	0.20989360207988922	13.458249966354375	17.89399982106
112	1835008	10	2.5	4.295346318982906	11.0	0.0	10	5.1	5.4671747731346585	12.0	0.0	-0.005145162037852707	-2.6006633686297143	0.13307808920286174	13.809749965475625	18.035999819640004
116	1900544	10	1.4	3.261901286060018	11.0	0.0	10	3.6	5.295280917949491	12.0	0.0	-0.005541643971232862	-2.586047072935932	0.1680341755485836	13.352249966619375	20.812999791870002
120	1966080	10	2.8	4.66476151587624	13.0	0.0	10	2.8	4.621688003316537	12.0	0.0	-0.005369000000475118	-2.579635309407617	0.19699490704694744	12.629749968425624	22.721999772780006
124	2031616	10	5.9	5.127377497317708	11.0	0.0	10	5.0	5.549774770204643	12.0	0.0	-0.00605094554276272	-2.542165256771877	0.1364635558035878	12.223749969440625	23.314999766850004
128	2097152	10	4.1	5.281098370604358	14.0	0.0	10	2.7	4.450842616853578	12.0	0.0	-0.006051920780592073	-2.5186708517232517	0.14646195968018705	12.240749969398125	25.325999746740006
132	2162688	10	2.9	4.158124577258358	11.0	0.0	10	3.7	4.817675788178362	11.0	0.0	-0.005665482537871065	-2.5119579555954554	0.15775373669560583	12.14149996964625	25.259999747400006
136	2228224	10	4.7	5.1778373863998475	11.0	0.0	10	1.7	3.195309061734091	11.0	0.0	-0.005994980283485389	-2.487167867262365	0.15720773308142083	11.488249971279377	25.366999746330006
140	2293760	10	3.8	4.975942121849891	12.0	0.0	10	2.7	4.267317658670374	11.0	0.0	-0.00627530251641893	-2.494096080202336	0.141782008484759	11.57849997105375	25.252999747470003
144	2359296	10	2.5	4.272001872658765	11.0	0.0	10	1.6	3.5832945734337835	12.0	0.0	-0.006053452170793525	-2.497725317615364	0.11197321542614078	11.58399997104	25.344999746550002
