iter	frame	n_test	mean_returns	std_returns	max_returns	min_returns	n_test_train	mean_returns_train	std_returns_train	max_returns_train	min_returns_train	actor_loss	entropy_loss	value_loss	training_time	evaluation_time
0	0	10	0.0	0.0	0.0	0.0	10	1.0	3.0	10.0	0.0	0	0	0	0.0	27.321999726780003
4	65536	10	3.0	4.58257569495584	10.0	0.0	10	3.0	4.58257569495584	10.0	0.0	-7.491093128139278e-05	-2.5937064833720824	0.21679346732632448	13.242249966894375	24.945999750540004
8	131072	10	2.0	4.0	10.0	0.0	10	6.0	4.898979485566356	10.0	0.0	-0.004815947305161672	-2.6295049411299587	0.37591576510228947	12.208249969479375	28.675999713240003
12	196608	10	3.0	4.58257569495584	10.0	0.0	10	5.0	5.0	10.0	0.0	-0.005582173587172892	-2.5898458656951138	0.3913300766512414	12.204749969488125	29.015999709840003
16	262144	10	5.0	5.0	10.0	0.0	10	4.0	4.898979485566356	10.0	0.0	-0.005155637580849402	-2.5909691624127995	0.4429274570356366	12.205999969485001	22.553999774460003
20	327680	10	7.0	4.58257569495584	10.0	0.0	10	7.0	4.58257569495584	10.0	0.0	-0.005736478045955349	-2.5473935129571816	1.007464852079113	12.417999968955002	24.929999750700002
24	393216	10	5.0	5.0	10.0	0.0	10	4.0	4.898979485566356	10.0	0.0	-0.005644534335582209	-2.524030238127049	0.8520568111644737	13.077249967306876	25.626999743730003
28	458752	10	6.0	4.898979485566356	10.0	0.0	10	7.0	4.58257569495584	10.0	0.0	-0.007681653535764963	-2.476842949529771	0.7402654460170641	12.173249969566877	10.501999894980003
32	524288	10	6.0	4.898979485566356	10.0	0.0	10	7.0	4.58257569495584	10.0	0.0	-0.009022863311626305	-2.4726894569801483	0.659748152450542	11.995249970011876	20.278999797210002
36	589824	10	6.0	4.898979485566356	10.0	0.0	10	4.0	4.898979485566356	10.0	0.0	-0.007348640002563426	-2.4664490592890718	0.5852742542213495	11.462249971344374	31.173999688260004
40	655360	10	4.0	4.898979485566356	10.0	0.0	10	3.0	4.58257569495584	10.0	0.0	-0.00880459378973524	-2.466131570181655	0.6508608431808672	11.801999970495	24.6299997537
44	720896	10	6.0	4.898979485566356	10.0	0.0	10	5.0	5.0	10.0	0.0	-0.008791936553273478	-2.421201010292886	0.5388417969827833	10.7989999730025	23.872999761270005
48	786432	10	7.0	4.58257569495584	10.0	0.0	10	8.0	4.0	10.0	0.0	-0.007866030216154361	-2.3882542250052823	0.4789005151140527	12.157749969605625	29.017999709820007
52	851968	10	5.0	5.0	10.0	0.0	10	6.0	4.898979485566356	10.0	0.0	-0.009293326852398979	-2.3715533860040945	0.41062923019820685	11.651999970870001	27.367999726320004
56	917504	10	7.0	4.58257569495584	10.0	0.0	10	6.0	4.898979485566356	10.0	0.0	-0.009645225083867118	-2.3486905915078737	0.436598344350079	12.285249969286877	22.395999776040004
60	983040	10	6.0	4.898979485566356	10.0	0.0	10	6.0	4.898979485566356	10.0	0.0	-0.00939459059638831	-2.289024809757847	0.3633737091838295	12.260499969348748	22.608999773910007
64	1048576	10	6.0	4.898979485566356	10.0	0.0	10	6.0	4.898979485566356	10.0	0.0	-0.009684985684444432	-2.321321233865213	0.33638644944476814	12.52249996869375	29.497999705020007
68	1114112	10	8.0	4.0	10.0	0.0	10	9.0	3.0	10.0	0.0	-0.009240578424949781	-2.265644227228989	0.42908482559522704	11.519999971199999	13.776999862230001
72	1179648	10	5.0	5.0	10.0	0.0	10	4.0	4.898979485566356	10.0	0.0	-0.010338788322299059	-2.281485656659572	0.408595356426791	12.461749968845625	23.137999768620006
76	1245184	10	6.0	4.898979485566356	10.0	0.0	10	8.0	4.0	10.0	0.0	-0.01013992000071568	-2.244878947500991	0.42018338909341946	12.926499967683752	14.642999853570004
80	1310720	10	5.0	5.0	10.0	0.0	10	7.0	4.58257569495584	10.0	0.0	-0.010920399328293503	-2.23320533560299	0.3873739779212881	12.49649996875875	14.216999857830002
84	1376256	10	7.0	4.58257569495584	10.0	0.0	10	8.0	4.0	10.0	0.0	-0.010315831662245275	-2.2822805591033752	0.3412939753648765	12.037999969905	15.843999841560002
88	1441792	10	7.0	4.58257569495584	10.0	0.0	10	6.0	4.898979485566356	10.0	0.0	-0.011329610498586641	-2.275312773646331	0.33197050724445815	11.667249970831877	26.401999735980006
92	1507328	10	4.0	4.898979485566356	10.0	0.0	10	5.0	5.0	10.0	0.0	-0.01051835935880139	-2.2490132125856217	0.3230573379408568	12.819249967951876	24.542999754570005
96	1572864	10	7.0	4.58257569495584	10.0	0.0	10	8.0	4.0	10.0	0.0	-0.010010413647420878	-2.206534700859217	0.33377973110973896	11.824999970437501	14.213999857860003
100	1638400	10	5.0	5.0	10.0	0.0	10	6.0	4.898979485566356	10.0	0.0	-0.008752723427276149	-2.176519880465443	0.3672737748910869	12.241249969396875	15.896999841030002
104	1703936	10	4.0	4.898979485566356	10.0	0.0	10	7.0	4.58257569495584	10.0	0.0	-0.009672681553843628	-2.1965147726433263	0.3124931885845787	11.962249970094376	3.1319999686800006
