iter	frame	n_test	mean_returns	std_returns	max_returns	min_returns	n_test_train	mean_returns_train	std_returns_train	max_returns_train	min_returns_train	actor_loss	entropy_loss	value_loss	training_time	evaluation_time
0	0	10	1.0	3.0	10.0	0.0	10	3.0	4.58257569495584	10.0	0.0	0	0	0	0.0	30.268999697310004
4	65536	10	1.0	3.0	10.0	0.0	10	6.0	4.898979485566356	10.0	0.0	-0.000651987706010301	-2.6706796856919515	0.35717356907518966	12.9829999675425	12.916999870830002
8	131072	10	5.0	5.0	10.0	0.0	10	3.0	4.58257569495584	10.0	0.0	-0.004007001232404098	-2.586690673956042	1.1919833743323995	12.567499968581249	3.1309999686900003
12	196608	10	1.0	3.0	10.0	0.0	10	4.0	4.898979485566356	10.0	0.0	-0.004920857966471645	-2.5026532384133118	1.6319658953238287	11.171749972070625	2.33599997664
16	262144	10	5.0	5.0	10.0	0.0	10	3.0	4.58257569495584	10.0	0.0	-0.004765410277699817	-2.4251625982380935	1.6548525155350327	11.636249970909375	1.7469999825300004
20	327680	10	3.0	4.58257569495584	10.0	0.0	10	4.0	4.898979485566356	10.0	0.0	-0.004843289461355458	-2.4181267889802065	1.383198751613459	13.428749966428125	4.065999959340001
24	393216	10	5.0	5.0	10.0	0.0	10	3.0	4.58257569495584	10.0	0.0	-0.006242133695758099	-2.414530378825285	1.2462691874497325	10.022749974943126	20.79799979202
28	458752	10	3.0	4.58257569495584	10.0	0.0	10	3.0	4.58257569495584	10.0	0.0	-0.005264766430079374	-2.3900066164626574	1.1685947420720895	10.27349997431625	17.580999824190002
32	524288	10	6.0	4.898979485566356	10.0	0.0	10	3.0	4.58257569495584	10.0	0.0	-0.005589825059384066	-2.3729226636401624	1.1778282459840135	11.663499970841249	2.7489999725100005
36	589824	10	5.0	5.0	10.0	0.0	10	4.0	4.898979485566356	10.0	0.0	-0.006219488765619644	-2.349397529913632	1.1926925634343792	13.4089999664775	5.246999947530001
40	655360	10	2.0	4.0	10.0	0.0	10	6.0	4.898979485566356	10.0	0.0	-0.005856384511688933	-2.2958402879628177	1.1363927335846826	11.165499972086252	2.39199997608
44	720896	10	4.0	4.898979485566356	10.0	0.0	10	4.0	4.898979485566356	10.0	0.0	-0.00720173224227301	-2.2715377929427345	1.0799951012052638	11.691249970771876	1.15199998848
