iter	frame	n_test	mean_returns	std_returns	max_returns	min_returns	n_test_train	mean_returns_train	std_returns_train	max_returns_train	min_returns_train	actor_loss	entropy_loss	value_loss	training_time	evaluation_time
0	0	10	3.0	4.58257569495584	10.0	0.0	10	4.0	4.898979485566356	10.0	0.0	0	0	0	0.0	24.737999752620002
4	65536	10	1.0	3.0	10.0	0.0	10	5.0	5.0	10.0	0.0	0.0007877313448653808	-2.590203317233321	0.39344722245757185	13.516249966209374	23.198999768010005
8	131072	10	6.0	4.898979485566356	10.0	0.0	10	5.0	5.0	10.0	0.0	-0.004302268597567112	-2.6188550886764057	0.38591389167759216	13.012499967468749	26.251999737480002
12	196608	10	2.0	4.0	10.0	0.0	10	3.0	4.58257569495584	10.0	0.0	-0.004784891230991562	-2.6087944778069336	0.5468810752706282	11.88549997028625	33.569999664300006
16	262144	10	4.0	4.898979485566356	10.0	0.0	10	1.0	3.0	10.0	0.0	-0.004916631184433044	-2.6166058602190305	0.5670582120647426	10.920499972698751	33.69899966301001
20	327680	10	5.0	5.0	10.0	0.0	10	6.0	4.898979485566356	10.0	0.0	-0.006537041616488413	-2.610280781712425	0.8978614359158797	10.4609999738475	21.20599978794
24	393216	10	8.0	4.0	10.0	0.0	10	7.0	4.58257569495584	10.0	0.0	-0.006292689704980708	-2.5990018891567734	0.6746524301586126	10.074249974814375	33.461999665380006
28	458752	10	5.0	5.0	10.0	0.0	10	7.0	4.58257569495584	10.0	0.0	-0.005679413201520391	-2.5913768730841817	0.7258290566989692	11.105749972235627	34.25599965744001
32	524288	10	5.0	5.0	10.0	0.0	10	6.0	4.898979485566356	10.0	0.0	-0.008206374030481526	-2.569531154861614	0.7566537819014579	11.439749971400625	32.51399967486001
36	589824	10	6.0	4.898979485566356	10.0	0.0	10	7.0	4.58257569495584	10.0	0.0	-0.008871683692314555	-2.549809944860769	0.6261490840433473	11.3189999717025	18.380999816190002
40	655360	10	2.0	4.0	10.0	0.0	10	6.0	4.898979485566356	10.0	0.0	-0.00971572527143559	-2.5191289953746896	0.4259551666854176	11.469999971324999	20.98199979018
44	720896	10	5.0	5.0	10.0	0.0	10	6.0	4.898979485566356	10.0	0.0	-0.009908213616228616	-2.502843402065394	0.5212139517767694	11.66649997083375	30.966999690330002
48	786432	10	5.0	5.0	10.0	0.0	10	8.0	4.0	10.0	0.0	-0.011045260069963623	-2.507365820047342	0.5031150939039831	11.9269999701825	18.558999814410004
52	851968	10	3.0	4.58257569495584	10.0	0.0	10	8.0	4.0	10.0	0.0	-0.010037053537887093	-2.5038194678599193	0.588534566202052	11.986749970033125	31.063999689360006
56	917504	10	3.0	4.58257569495584	10.0	0.0	10	7.0	4.58257569495584	10.0	0.0	-0.009767362036850184	-2.489917161304666	0.414606797776148	10.65999997335	31.581999684180005
60	983040	10	4.0	4.898979485566356	10.0	0.0	10	5.0	5.0	10.0	0.0	-0.008919798901520207	-2.4759604779286946	0.4294962600047032	12.183249969541874	15.631999843680003
64	1048576	10	6.0	4.898979485566356	10.0	0.0	10	7.0	4.58257569495584	10.0	0.0	-0.011166686205543602	-2.45624381526554	0.3709441764514681	13.191249967021873	10.343999896560002
68	1114112	10	4.0	4.898979485566356	10.0	0.0	10	7.0	4.58257569495584	10.0	0.0	-0.010743973360849363	-2.4699976913541573	0.35718531716619567	13.0129999674675	13.477999865220001
72	1179648	10	9.0	3.0	10.0	0.0	10	6.0	4.898979485566356	10.0	0.0	-0.0097985796106008	-2.4467630756332857	0.3514705337217903	11.6409999708975	14.847999851520003
76	1245184	10	5.0	5.0	10.0	0.0	10	8.0	4.0	10.0	0.0	-0.009094736241991107	-2.394363263993395	0.39157295983551993	12.385749969035626	17.31299982687
80	1310720	10	8.0	4.0	10.0	0.0	10	7.0	4.58257569495584	10.0	0.0	-0.010898660214860151	-2.3843027996520076	0.3235677475703969	11.221749971945625	15.750999842490002
84	1376256	10	4.0	4.898979485566356	10.0	0.0	10	8.0	4.0	10.0	0.0	-0.010560714618008012	-2.351247956110491	0.37724103340053894	10.885999972785	16.280999837190002
88	1441792	10	4.0	4.898979485566356	10.0	0.0	10	6.0	4.898979485566356	10.0	0.0	-0.009830369822830807	-2.3495576106047937	0.36382045546482067	12.33849996915375	34.73199965268
92	1507328	10	5.0	5.0	10.0	0.0	10	7.0	4.58257569495584	10.0	0.0	-0.010172018998523501	-2.2963328185272336	0.3364817807100388	11.212499971968748	17.399999826000002
96	1572864	10	6.0	4.898979485566356	10.0	0.0	10	4.0	4.898979485566356	10.0	0.0	-0.010256904166597983	-2.259953776759929	0.3256665323521707	11.232249971919376	30.470999695290004
100	1638400	10	4.0	4.898979485566356	10.0	0.0	10	6.0	4.898979485566356	10.0	0.0	-0.01060523767602598	-2.2583902103336557	0.2907270877319227	11.660249970849376	15.039999849600001
104	1703936	10	5.0	5.0	10.0	0.0	10	7.0	4.58257569495584	10.0	0.0	-0.010168464021415923	-2.2520810090143004	0.28397573077576654	11.676749970808123	27.387999726120007
108	1769472	10	3.0	4.58257569495584	10.0	0.0	10	9.0	3.0	10.0	0.0	-0.009010260188886635	-2.233115384743453	0.2648220766680751	11.853999970364999	15.381999846180003
112	1835008	10	4.0	4.898979485566356	10.0	0.0	10	5.0	5.0	10.0	0.0	-0.010040427338799458	-2.2364902444337673	0.24207324190648075	12.8549999678625	13.787999862120003
116	1900544	10	6.0	4.898979485566356	10.0	0.0	10	7.0	4.58257569495584	10.0	0.0	-0.007435914926174227	-2.15569796390728	0.27440288753184355	12.303749969240625	18.426999815730003
120	1966080	10	5.0	5.0	10.0	0.0	10	8.0	4.0	10.0	0.0	-0.008106459171423509	-2.1741479061762727	0.21955728870081676	10.96649997258375	30.206999697930005
124	2031616	10	5.0	5.0	10.0	0.0	10	8.0	4.0	10.0	0.0	-0.007375908866823513	-2.1874473092661595	0.295637102456391	12.336249969159375	25.081999749180003
128	2097152	10	5.0	5.0	10.0	0.0	10	6.0	4.898979485566356	10.0	0.0	-0.007918432941029473	-2.127259387102664	0.31741160616697567	12.74399996814	24.080999759190004
132	2162688	10	4.0	4.898979485566356	10.0	0.0	10	8.0	4.0	10.0	0.0	-0.008475849241551781	-2.0704653583793795	0.26899621198256185	13.425749966435626	12.204999877950002
136	2228224	10	7.0	4.58257569495584	10.0	0.0	10	8.0	4.0	10.0	0.0	-0.009272616224678117	-2.0547611798192484	0.32274277784293687	13.324249966689374	15.324999846750002
140	2293760	10	6.0	4.898979485566356	10.0	0.0	10	5.0	5.0	10.0	0.0	-0.007361232525445514	-2.16142278390463	0.24843083102151764	13.281999966795	15.522999844770002
144	2359296	10	5.0	5.0	10.0	0.0	10	5.0	5.0	10.0	0.0	-0.00974250283029581	-2.0724253466056686	0.25305072168977627	12.265999969335	24.133999758660003
