iter	frame	n_test	mean_returns	std_returns	max_returns	min_returns	n_test_train	mean_returns_train	std_returns_train	max_returns_train	min_returns_train	actor_loss	entropy_loss	value_loss	training_time	evaluation_time
0	0	10	0.8	0.7483314773547883	2.0	0.0	10	1.2	0.6000000000000001	2.0	0.0	0	0	0	0.0	31.959999680400006
4	65536	10	1.1	0.5385164807134504	2.0	0.0	10	0.8	0.8717797887081347	2.0	0.0	-0.002319354986928094	-2.636151591662148	0.07165736413280037	12.076749969808127	31.946999680530006
8	131072	10	1.0	0.4472135954999579	2.0	0.0	10	2.0	3.7416573867739413	13.0	0.0	-0.004807140415732125	-2.6209202753754224	0.04265118294804935	10.976249972559376	32.735999672640006
12	196608	10	1.4	1.1135528725660042	3.0	0.0	10	0.5	0.6708203932499369	2.0	0.0	-0.0054913825267289135	-2.6108916423978688	0.040711001547003675	11.652999970867501	31.670999683290006
16	262144	10	1.3	1.004987562112089	3.0	0.0	10	2.1	2.7	10.0	0.0	-0.006563929204804981	-2.5706877010369733	0.03051296943325597	11.45349997136625	31.673999683260003
20	327680	10	1.6	0.8	3.0	1.0	10	1.3	1.1	3.0	0.0	-0.006345214098419031	-2.580161509145747	0.041646531157824435	11.326749971683126	30.601999693980005
24	393216	10	1.3	0.9	3.0	0.0	10	1.5	0.806225774829855	3.0	0.0	-0.006063757517015046	-2.591390924879186	0.04295726527478109	11.327999971679999	31.575999684240006
28	458752	10	3.7	4.775981574503821	13.0	0.0	10	1.7	0.7810249675906654	3.0	0.0	-0.00505120919305058	-2.5903114425424594	0.08824754594682065	12.132249969669374	31.154999688450005
32	524288	10	1.2	0.7483314773547882	3.0	0.0	10	2.3	2.72213151776324	10.0	0.0	-0.004556233329650692	-2.584255106477957	0.0894880190902926	11.053749972365624	32.822999671770006
36	589824	10	4.2	5.249761899362675	13.0	0.0	10	2.5	3.5846896657869842	13.0	0.0	-0.005216289733109593	-2.5755655787685834	0.10908516243050405	11.648749970878127	28.946999710530005
40	655360	10	2.7	3.6619666847201113	13.0	0.0	10	2.0	2.8284271247461903	10.0	0.0	-0.004957908950714674	-2.5846180863469668	0.11389844157167461	11.3729999715675	33.04399966956
44	720896	10	3.6	4.7791212581394085	13.0	0.0	10	2.4	3.555277766926235	13.0	1.0	-0.0044541363696739816	-2.5888349013810763	0.12486579946959452	11.134499972163749	28.332999716670002
48	786432	10	3.8	3.994996871087636	13.0	0.0	10	3.5	4.129164564412516	13.0	0.0	-0.0059332567100868336	-2.5870786455558985	0.08460472197321907	11.556999971107501	33.396999666030005
52	851968	10	1.8	0.6000000000000001	3.0	1.0	10	1.6	1.019803902718557	3.0	0.0	-0.005649231389439876	-2.576623442003947	0.0736480986545135	11.00249997249375	32.901999670980004
56	917504	10	3.9	3.9102429592034302	13.0	1.0	10	1.9	1.044030650891055	3.0	0.0	-0.005482017901193828	-2.5627354653987067	0.08640959369049896	10.998249972504375	33.57699966423
