iter	frame	n_test	mean_returns	std_returns	max_returns	min_returns	n_test_train	mean_returns_train	std_returns_train	max_returns_train	min_returns_train	actor_loss	entropy_loss	value_loss	training_time	evaluation_time
0	0	10	1.0	3.0	10.0	0.0	10	3.0	4.58257569495584	10.0	0.0	0	0	0	0.0	6.613999933860001
4	65536	10	5.0	5.0	10.0	0.0	10	6.0	4.898979485566356	10.0	0.0	-0.002199777789805667	-2.6898833460787386	0.4827184661099148	3.574749991063125	8.149999918500002
8	131072	10	6.0	4.898979485566356	10.0	0.0	10	4.0	4.898979485566356	10.0	0.0	-0.0029720411060464094	-2.6723087303040303	0.40519397623962394	3.4029999914925	8.377999916220002
12	196608	10	1.0	3.0	10.0	0.0	10	5.0	5.0	10.0	0.0	-0.0034985758389660068	-2.66635019304396	0.4051515700183975	4.29649998925875	8.05399991946
16	262144	10	6.0	4.898979485566356	10.0	0.0	10	7.0	4.58257569495584	10.0	0.0	-0.0035162019311707022	-2.659973891795756	0.5291697543804968	4.287749989280625	6.335999936640001
20	327680	10	7.0	4.58257569495584	10.0	0.0	10	8.0	4.0	10.0	0.0	-0.0032784427551552455	-2.6447006312238006	0.744836122961738	4.341999989145	2.34799997652
24	393216	10	6.0	4.898979485566356	10.0	0.0	10	6.0	4.898979485566356	10.0	0.0	-0.0052003947027858145	-2.6308362282555664	0.7824890830049416	3.42549999143625	6.764999932350001
28	458752	10	6.0	4.898979485566356	10.0	0.0	10	9.0	3.0	10.0	0.0	-0.005599539774895679	-2.6059064936903624	0.715869812220271	3.41199999147	3.5249999647500005
32	524288	10	6.0	4.898979485566356	10.0	0.0	10	6.0	4.898979485566356	10.0	0.0	-0.005493697212572557	-2.6134210996090994	0.797247287113371	3.9034999902412504	3.6909999630900003
36	589824	10	5.0	5.0	10.0	0.0	10	5.0	5.0	10.0	0.0	-0.005927866569122125	-2.61749320946687	0.6654428373329075	3.598749991003125	7.159999928400001
40	655360	10	2.0	4.0	10.0	0.0	10	5.0	5.0	10.0	0.0	-0.006603256650648332	-2.5967348140753432	0.673434151887283	3.334249991664375	7.107999928920001
44	720896	10	2.0	4.0	10.0	0.0	10	7.0	4.58257569495584	10.0	0.0	-0.005930465303500358	-2.5904226325237496	0.6831365909957566	3.667749990830625	3.4869999651300008
48	786432	10	3.0	4.58257569495584	10.0	0.0	10	4.0	4.898979485566356	10.0	0.0	-0.008212943872173143	-2.6001102002733534	0.4350290599136391	3.99249999001875	3.397999966020001
52	851968	10	5.0	5.0	10.0	0.0	10	7.0	4.58257569495584	10.0	0.0	-0.006224425675058017	-2.583087257771833	0.5486914387642995	3.641749990895625	7.086999929130001
56	917504	10	7.0	4.58257569495584	10.0	0.0	10	3.0	4.58257569495584	10.0	0.0	-0.006690092253151094	-2.568852439255154	0.4861169587314396	3.177249992056875	3.9689999603100006
60	983040	10	5.0	5.0	10.0	0.0	10	4.0	4.898979485566356	10.0	0.0	-0.00898704542393779	-2.568821022640307	0.4538092642239378	3.8074999904812503	4.174999958250001
64	1048576	10	7.0	4.58257569495584	10.0	0.0	10	6.0	4.898979485566356	10.0	0.0	-0.008851567464249645	-2.5553817945043726	0.4388410203322611	3.5769999910574994	7.228999927710001
68	1114112	10	6.0	4.898979485566356	10.0	0.0	10	7.0	4.58257569495584	10.0	0.0	-0.009073672167651939	-2.5546657887420294	0.38782712006005976	3.3097499917256252	1.3579999864200003
72	1179648	10	7.0	4.58257569495584	10.0	0.0	10	9.0	3.0	10.0	0.0	-0.009952817227585982	-2.554455848765518	0.3986345914087694	3.9197499902006245	6.179999938200001
76	1245184	10	4.0	4.898979485566356	10.0	0.0	10	6.0	4.898979485566356	10.0	0.0	-0.007957059338655493	-2.5097148440647494	0.43083080086094544	3.802249990494375	6.103999938960001
80	1310720	10	7.0	4.58257569495584	10.0	0.0	10	7.0	4.58257569495584	10.0	0.0	-0.0077160647577174364	-2.4935636964823114	0.3857969225292864	3.6319999909200003	6.707999932920001
84	1376256	10	5.0	5.0	10.0	0.0	10	8.0	4.0	10.0	0.0	-0.010599438526805309	-2.478894891580014	0.36718431514898725	3.5104999912237496	4.904999950950001
88	1441792	10	7.0	4.58257569495584	10.0	0.0	10	8.0	4.0	10.0	0.0	-0.008913282089432996	-2.501756451763383	0.37835110797641375	3.6284999909287503	3.5799999642000007
