iter	frame	n_test	mean_returns	std_returns	max_returns	min_returns	n_test_train	mean_returns_train	std_returns_train	max_returns_train	min_returns_train	actor_loss	entropy_loss	value_loss	training_time	evaluation_time
0	0	10	3.0	4.58257569495584	10.0	0.0	10	1.0	3.0	10.0	0.0	0	0	0	0.0	16.12399983876
4	65536	10	3.0	4.58257569495584	10.0	0.0	10	5.0	5.0	10.0	0.0	0.004866025305796952	-2.4596496917228765	0.9571679739526248	11.65849997085375	12.587999874120001
8	131072	10	3.0	4.58257569495584	10.0	0.0	10	3.0	4.58257569495584	10.0	0.0	-0.0018793887767224824	-2.393499023963037	1.6498300816386964	11.547999971130002	4.532999954670001
12	196608	10	1.0	3.0	10.0	0.0	10	5.0	5.0	10.0	0.0	-0.002473690020497102	-2.4692713218342046	1.4651432085497862	12.430749968923125	5.249999947500001
16	262144	10	3.0	4.58257569495584	10.0	0.0	10	3.0	4.58257569495584	10.0	0.0	-0.0006352319517287275	-2.4733798476464024	0.9256992003847493	10.961999972595	4.81099995189
20	327680	10	0.0	0.0	0.0	0.0	10	3.0	4.58257569495584	10.0	0.0	-0.0005698180223299192	-2.4500962567757454	0.49521603709516204	12.284249969289375	2.0299999797000003
24	393216	10	5.0	5.0	10.0	0.0	10	2.0	4.0	10.0	0.0	-0.0019478859174131718	-2.4213284102540267	0.3625733737145676	11.835249970411875	2.1089999789100005
28	458752	10	3.0	4.58257569495584	10.0	0.0	10	2.0	4.0	10.0	0.0	-0.0018558510635443277	-2.3941634170700645	0.35440107338164084	12.570749968573125	5.097999949020001
32	524288	10	5.0	5.0	10.0	0.0	10	3.0	4.58257569495584	10.0	0.0	-0.0024492361078223284	-2.440261234585563	0.33764965735583985	12.707249968231874	4.78399995216
36	589824	10	4.0	4.898979485566356	10.0	0.0	10	2.0	4.0	10.0	0.0	-0.0033832174276047632	-2.46581831052049	0.3011132526518662	12.767249968081876	5.4059999459400006
40	655360	10	1.0	3.0	10.0	0.0	10	4.0	4.898979485566356	10.0	0.0	-0.0014909781868141798	-2.4462245178654736	0.2753412144282245	12.498249968754376	13.441999865580001
44	720896	10	1.0	3.0	10.0	0.0	10	4.0	4.898979485566356	10.0	0.0	-0.002078473296110388	-2.462612407646354	0.24348680424140745	11.01649997245875	9.670999903290001
48	786432	10	2.0	4.0	10.0	0.0	10	2.0	4.0	10.0	0.0	-0.0006924421952626528	-2.4715475536791875	0.19591456812628294	13.926249965184377	9.10399990896
52	851968	10	4.0	4.898979485566356	10.0	0.0	10	3.0	4.58257569495584	10.0	0.0	-0.001691391075358249	-2.475691636145517	0.15898779281311126	11.748249970629375	15.631999843680003
56	917504	10	2.0	4.0	10.0	0.0	10	3.0	4.58257569495584	10.0	0.0	-0.0017722219731364835	-2.4723378591147624	0.14685156319002457	11.518749971203126	9.323999906760001
60	983040	10	2.0	4.0	10.0	0.0	10	3.0	4.58257569495584	10.0	0.0	-0.0029864849078190827	-2.484313972035548	0.1411218528178357	12.385249969036874	7.259999927400001
64	1048576	10	2.0	4.0	10.0	0.0	10	1.0	3.0	10.0	0.0	-0.002006242131547169	-2.4142158923018484	0.1479183223410096	12.46849996882875	11.254999887450003
68	1114112	10	5.0	5.0	10.0	0.0	10	1.0	3.0	10.0	0.0	-0.00239657780159679	-2.4163269249068	0.12593939941772003	11.00349997249125	12.26699987733
72	1179648	10	2.0	4.0	10.0	0.0	10	2.0	4.0	10.0	0.0	-0.0023370103284823954	-2.427947836364717	0.13565727415012846	11.190749972023127	8.85399991146
76	1245184	10	3.0	4.58257569495584	10.0	0.0	10	2.0	4.0	10.0	0.0	-0.003887091845373532	-2.463990476967525	0.1152518504412	12.08749996978125	7.375999926240001
80	1310720	10	0.0	0.0	0.0	0.0	10	1.0	3.0	10.0	0.0	-0.00299547520716283	-2.4361841080035243	0.1461186974622839	11.9249999701875	9.7599999024
84	1376256	10	2.0	4.0	10.0	0.0	10	4.0	4.898979485566356	10.0	0.0	-0.0033424384803618966	-2.4706329725592684	0.10671553604434933	11.311499971721249	6.920999930790002
