iter	frame	n_test	mean_returns	std_returns	max_returns	min_returns	n_test_train	mean_returns_train	std_returns_train	max_returns_train	min_returns_train	actor_loss	entropy_loss	value_loss	training_time	evaluation_time
0	0	10	0.0	0.0	0.0	0.0	10	3.0	4.58257569495584	10.0	0.0	0	0	0	0.0	46.028999539710014
4	65536	10	4.0	4.898979485566356	10.0	0.0	10	2.0	4.0	10.0	0.0	0.003719825457277656	-2.6405677941671173	0.17952259860925443	11.488249971279377	14.445999855540002
8	131072	10	3.0	4.58257569495584	10.0	0.0	10	5.0	5.0	10.0	0.0	-0.003213085083460704	-2.6222668808947356	0.7671458310579845	13.02449996743875	20.3099997969
12	196608	10	5.0	5.0	10.0	0.0	10	5.0	5.0	10.0	0.0	-0.003089915655115059	-2.5460311122070043	1.3420592234624176	11.665249970836877	6.397999936020001
16	262144	10	4.0	4.898979485566356	10.0	0.0	10	6.0	4.898979485566356	10.0	0.0	-0.0025141249592513463	-2.5103071230021863	1.2894626606154342	11.166999972082502	4.896999951030001
20	327680	10	3.0	4.58257569495584	10.0	0.0	10	6.0	4.898979485566356	10.0	0.0	-0.004088307972959612	-2.475648981571604	1.298149189466118	13.092249967269375	5.659999943400001
24	393216	10	4.0	4.898979485566356	10.0	0.0	10	2.0	4.0	10.0	0.0	-0.005269595188471121	-2.442571490748602	1.2961530025940025	11.33349997166625	6.982999930170001
28	458752	10	6.0	4.898979485566356	10.0	0.0	10	3.0	4.58257569495584	10.0	0.0	-0.005420300856754571	-2.3890075184399824	1.2689356690813525	11.554249971114375	4.471999955280001
32	524288	10	4.0	4.898979485566356	10.0	0.0	10	5.0	5.0	10.0	0.0	-0.005935176170763555	-2.355464900287997	1.27680717767886	12.074749969813125	5.463999945360001
36	589824	10	4.0	4.898979485566356	10.0	0.0	10	6.0	4.898979485566356	10.0	0.0	-0.005951682844762829	-2.3726803831768097	1.171117554607192	11.541249971146874	3.9239999607600007
40	655360	10	5.0	5.0	10.0	0.0	10	4.0	4.898979485566356	10.0	0.0	-0.007690197527868703	-2.423738896594298	0.9226541828644799	12.978249967554376	23.706999762930003
44	720896	10	5.0	5.0	10.0	0.0	10	2.0	4.0	10.0	0.0	-0.00574212320559643	-2.3947916748612004	0.9495287133012559	12.341749969145624	16.519999834800004
48	786432	10	5.0	5.0	10.0	0.0	10	5.0	5.0	10.0	0.0	-0.007171842458027268	-2.419179466611475	0.8195015470574984	11.3409999716475	15.371999846280003
