iter	frame	n_test	mean_returns	std_returns	max_returns	min_returns	n_test_train	mean_returns_train	std_returns_train	max_returns_train	min_returns_train	actor_loss	entropy_loss	value_loss	training_time	evaluation_time
0	0	10	1.1	2.3430749027719964	8.0	0.0	10	0.9	1.2206555615733703	4.0	0.0	0	0	0	0.0	11.161999888380002
4	65536	10	1.1	1.5132745950421556	5.0	0.0	10	1.0	1.0	3.0	0.0	0.02065601009020085	-2.313130306459914	0.1586562474092977	12.069499969826252	9.82799990172
8	131072	10	1.2	1.7776388834631178	6.0	0.0	10	1.1	1.5132745950421556	4.0	0.0	-0.0017407345025888352	-2.2831922320133344	0.03283051397154229	12.228249969429374	11.806999881930002
12	196608	10	0.5	0.806225774829855	2.0	0.0	10	0.5	0.5	1.0	0.0	-0.0032574600514880467	-2.322875082250862	0.03749908661700083	12.58749996853125	11.411999885880002
16	262144	10	1.4	1.3564659966250536	4.0	0.0	10	0.7	1.004987562112089	3.0	0.0	-0.005867025841017828	-2.4184894012872404	0.04108740373397039	11.199249972001875	13.02399986976
20	327680	10	1.1	1.1357816691600549	3.0	0.0	10	0.9	1.374772708486752	4.0	0.0	-0.007111416219400336	-2.422335522617896	0.045828195322808685	12.732249968169375	11.448999885510002
24	393216	10	0.8	1.5362291495737217	5.0	0.0	10	1.0	1.0	3.0	0.0	-0.008839223089114622	-2.382982214043663	0.046001651940421634	11.661749970845626	11.204999887950002
28	458752	10	0.3	0.6403124237432849	2.0	0.0	10	0.8	0.8717797887081348	3.0	0.0	-0.009519734149680227	-2.3985425330683534	0.04644964464145839	10.87749997280625	10.588999894110001
32	524288	10	0.4	0.9165151389911681	3.0	0.0	10	1.4	1.2806248474865698	4.0	0.0	-0.009919491110422824	-2.4191810262663465	0.04924730676644647	12.024249969939378	7.661999923380002
36	589824	10	0.9	0.8306623862918076	2.0	0.0	10	1.5	1.3601470508735443	4.0	0.0	-0.010665022602047589	-2.406506416447619	0.04648297539583186	11.445749971385625	11.862999881370001
40	655360	10	2.1	3.014962686336267	10.0	0.0	10	1.2	1.4	4.0	0.0	-0.012124174595808702	-2.458651073020887	0.03715053846439792	11.892249970269376	15.670999843290002
44	720896	10	1.8	2.6758176320519307	7.0	0.0	10	2.1	2.118962010041709	7.0	0.0	-0.012105795269793355	-2.472405607244123	0.0388075301266829	12.472749968818125	13.212999867870002
48	786432	10	1.0	1.2649110640673518	4.0	0.0	10	1.1	1.374772708486752	4.0	0.0	-0.013688768222375247	-2.456124099336521	0.038235125477168216	11.72049997069875	12.821999871780001
52	851968	10	1.0	1.2649110640673518	3.0	0.0	10	0.9	1.044030650891055	3.0	0.0	-0.01436987171566293	-2.4296674974215335	0.039056469138989476	11.426499971433751	7.408999925910001
56	917504	10	0.3	0.6403124237432849	2.0	0.0	10	1.4	1.42828568570857	5.0	0.0	-0.012779681687367256	-2.4247562907593903	0.03903205197596395	12.164999969587502	10.519999894800002
60	983040	10	0.9	1.2206555615733705	4.0	0.0	10	1.2	1.2489995996796797	4.0	0.0	-0.013574815581807259	-2.400719739246633	0.04038467269435809	10.922499972693752	14.921999850780002
64	1048576	10	0.6	1.0198039027185568	3.0	0.0	10	1.3	1.4866068747318506	4.0	0.0	-0.01455040689658457	-2.41350061172935	0.04224096020864518	11.5389999711525	9.72799990272
68	1114112	10	1.5	1.3601470508735443	4.0	0.0	10	1.5	1.3601470508735443	4.0	0.0	-0.01458036535131827	-2.3676909677701485	0.040311269225078876	11.973749970065624	16.09499983905
72	1179648	10	0.6	0.9165151389911681	3.0	0.0	10	0.8	0.4	1.0	0.0	-0.014344234003471791	-2.3621766564769624	0.044540494830985454	11.138999972152499	7.062999929370001
76	1245184	10	1.9	2.071231517720798	6.0	0.0	10	1.3	2.1	7.0	0.0	-0.01549185009046203	-2.376099193842061	0.03667531301816733	12.008749969978124	15.476999845230003
80	1310720	10	1.5	1.91049731745428	5.0	0.0	10	1.6	1.854723699099141	6.0	0.0	-0.015138142065188298	-2.4061727248109324	0.036283428330696275	11.665749970835625	12.599999874000002
84	1376256	10	0.8	1.0770329614269007	3.0	0.0	10	2.2	3.627671429443411	12.0	0.0	-0.015694284373423663	-2.4377248309496897	0.03814243936203467	11.221499971946251	24.583999754160004
88	1441792	10	1.5	1.746424919657298	6.0	0.0	10	0.8	1.077032961426901	3.0	0.0	-0.01415744684198081	-2.3800700428589496	0.04866297783133618	10.89749997275625	11.572999884270002
92	1507328	10	0.8	0.9797958971132713	3.0	0.0	10	2.5	2.6551836094703507	7.0	0.0	-0.01453786456689608	-2.3715809009982363	0.03950999975569007	11.33849997165375	17.53399982466
96	1572864	10	0.8	1.1661903789690602	3.0	0.0	10	1.6	1.3564659966250536	4.0	0.0	-0.01557594762642358	-2.3150272391808544	0.043906372540402985	10.386749974033126	16.964999830350003
100	1638400	10	0.9	1.8138357147217055	6.0	0.0	10	2.2	3.400000000000001	12.0	0.0	-0.014800603880732083	-2.301527616638608	0.04112186103941307	11.840749970398125	19.0599998094
104	1703936	10	0.7	1.1874342087037917	4.0	0.0	10	1.2	1.661324772583615	4.0	0.0	-0.015602385230716226	-2.3042136328999057	0.04018879052764266	11.683249970791877	8.683999913160001
108	1769472	10	1.0	1.0	3.0	0.0	10	1.4	1.8547236990991407	6.0	0.0	-0.015369399235690286	-2.317091777679359	0.03878408272269064	11.260249971849376	13.749999862500003
112	1835008	10	1.7	1.8466185312619388	6.0	0.0	10	3.5	4.695742752749559	16.0	0.0	-0.015663168473904737	-2.3267490613023663	0.03741496717555622	11.46149997134625	21.064999789350004
116	1900544	10	0.6	0.9165151389911681	3.0	0.0	10	1.4	1.2806248474865698	4.0	0.0	-0.016236475739915837	-2.335078815375913	0.0354276733280819	12.304749969238125	10.306999896930002
120	1966080	10	1.4	2.9051678092667896	10.0	0.0	10	2.0	1.4142135623730951	4.0	0.0	-0.015865288588292583	-2.3159673931769063	0.0354832441819502	10.925999972685	19.40399980596
124	2031616	10	1.0	1.1832159566199232	4.0	0.0	10	1.5	1.2041594578792296	4.0	0.0	-0.01653479574522216	-2.2842955810432377	0.038429811049595815	11.114499972213752	10.293999897060003
128	2097152	10	1.1	1.2206555615733703	3.0	0.0	10	2.0	1.8439088914585775	5.0	0.0	-0.016538512703336106	-2.2583394644292154	0.03721744906312845	11.578249971054376	13.689999863100002
132	2162688	10	1.1	1.374772708486752	4.0	0.0	10	1.5	1.857417562100671	6.0	0.0	-0.015290847321844346	-2.2230018300482643	0.041098244212322464	10.601249973496875	16.787999832120004
136	2228224	10	1.2	1.8867962264113207	6.0	0.0	10	1.5	1.746424919657298	5.0	0.0	-0.016653716315061143	-2.2185978067590426	0.04177463413169072	11.13199997217	14.195999858040002
140	2293760	10	0.5	0.5	1.0	0.0	10	1.6	1.4966629547095767	4.0	0.0	-0.01643152774412076	-2.205292470523475	0.03845979757982462	11.847999970380002	11.737999882620002
144	2359296	10	2.5	1.8027756377319946	6.0	0.0	10	2.2	1.6	5.0	0.0	-0.01575192149739077	-2.1822699852498095	0.04224128143732317	10.77949997305125	15.682999843170002
148	2424832	10	4.3	5.0803543183522155	17.0	0.0	10	2.4	2.2	7.0	0.0	-0.015466079060899541	-2.156260336214204	0.04345158060249564	11.965249970086875	24.261999757380003
152	2490368	10	1.4	1.7435595774162693	6.0	0.0	10	1.9	1.5132745950421556	5.0	0.0	-0.017399891845350016	-2.1852563667007874	0.03692880650830416	11.78399997054	9.910999900890001
156	2555904	10	1.0	1.61245154965971	5.0	0.0	10	3.0	2.8284271247461903	8.0	0.0	-0.015626806322758865	-2.220570956435955	0.03787031618018101	11.8109999704725	21.907999780920004
160	2621440	10	2.0	2.32379000772445	8.0	0.0	10	2.2	2.181742422927143	7.0	0.0	-0.014882564048362348	-2.1957714903054204	0.04668608974799971	11.176749972058126	14.944999850550003
164	2686976	10	3.5	3.4713109915419564	10.0	0.0	10	0.8	1.2489995996796797	4.0	0.0	-0.01658646848539651	-2.2265185512766563	0.037321109243195844	11.424999971437499	16.652999833470002
168	2752512	10	1.0	1.4142135623730951	4.0	0.0	10	5.5	5.643580423808985	17.0	0.0	-0.016010124923468223	-2.214286009239967	0.03736298245687133	11.106999972232499	25.040999749590004
172	2818048	10	2.4	4.029888335921977	14.0	0.0	10	0.7	1.1874342087037917	4.0	0.0	-0.015644951993522054	-2.191791501909667	0.043767599500813215	11.06549997233625	18.046999819530004
176	2883584	10	1.5	1.5652475842498528	4.0	0.0	10	2.3	3.2264531609803355	9.0	0.0	-0.015967820648109254	-2.171680015596035	0.04167308952846155	11.015999972460001	20.072999799270004
180	2949120	10	1.9	2.0223748416156684	6.0	0.0	10	2.1	3.6180105030251086	11.0	0.0	-0.01620023289749759	-2.2018473121217084	0.04161325135455681	11.672749970818126	25.335999746640002
184	3014656	10	1.5	1.8027756377319946	6.0	0.0	10	2.9	2.3853720883753127	8.0	0.0	-0.01614099924410584	-2.188500493536908	0.03712152223647388	11.7909999705225	9.499999905000001
188	3080192	10	2.1	1.374772708486752	5.0	0.0	10	4.8	4.995998398718719	15.0	0.0	-0.015717592123898148	-2.172038912546878	0.037755408494991365	11.321999971695	28.907999710920006
192	3145728	10	1.7	1.268857754044952	4.0	0.0	10	1.9	1.6401219466856725	6.0	0.0	-0.015650534527783297	-2.174073929361534	0.038871688841828705	11.293249971766876	12.437999875620003
196	3211264	10	1.6	3.5832945734337835	12.0	0.0	10	2.2	3.218695387886217	11.0	0.0	-0.016199878798468417	-2.177605283530217	0.03456144275094168	11.60049997099875	27.685999723140004
200	3276800	10	1.8	2.08806130178211	5.0	0.0	10	2.7	1.676305461424021	6.0	0.0	-0.015445153838510148	-2.1725292923770283	0.033900890825665476	10.875749972810626	15.696999843030001
204	3342336	10	2.1	2.507987240796891	7.0	0.0	10	1.0	1.5491933384829668	4.0	0.0	-0.01598569393005993	-2.1531334070108605	0.03468293711802684	10.3449999741375	12.593999874060001
208	3407872	10	0.7	0.7810249675906655	2.0	0.0	10	3.9	3.8845849199110063	13.0	0.0	-0.016017201575625382	-2.1908669717811255	0.03825748447551172	11.484249971289374	20.340999796590005
212	3473408	10	0.4	0.48989794855663565	1.0	0.0	10	2.7	4.605431575867782	16.0	0.0	-0.014579346232188548	-2.112138430057492	0.04337363315216769	10.668749973328124	11.771999882280003
216	3538944	10	1.2	2.08806130178211	7.0	0.0	10	2.8	3.1559467676119	11.0	0.0	-0.015821434667354514	-2.098002160370358	0.043596392337658586	11.1929999720175	20.525999794740002
220	3604480	10	1.4	2.33238075793812	8.0	0.0	10	3.6	3.7735924528226414	12.0	0.0	-0.01442609232952334	-2.1340420045219157	0.039365346364767344	11.048499972378751	16.869999831300003
224	3670016	10	1.3	1.1	3.0	0.0	10	4.0	4.219004621945797	15.0	0.0	-0.016565028624823844	-2.1053788014046697	0.03930327959414944	11.45249997136875	16.703999832960005
228	3735552	10	0.8	1.077032961426901	3.0	0.0	10	2.3	2.5317977802344327	9.0	0.0	-0.014930027889589255	-2.1198652260280806	0.042770423727932265	10.906999972732498	13.093999869060001
232	3801088	10	0.7	1.004987562112089	3.0	0.0	10	1.3	1.1	4.0	0.0	-0.016287213840891657	-2.1721441544813254	0.038798184809114004	11.122249972194377	9.484999905150001
236	3866624	10	1.8	3.218695387886216	11.0	0.0	10	3.6	4.054626986542659	14.0	0.0	-0.015194293660527448	-2.138297371343556	0.03606124441151813	12.830499967923751	19.784999802150004
240	3932160	10	1.6	2.1071307505705477	7.0	0.0	10	2.8	2.785677655436824	7.0	0.0	-0.015562018778125677	-2.1291880828904493	0.039950691275793676	11.795249970511875	12.920999870790002
244	3997696	10	1.9	3.112876483254676	11.0	0.0	10	2.7	3.407345007480165	11.0	0.0	-0.015230125258545427	-2.128124626752585	0.03710628186043637	10.65049997337375	16.511999834880005
248	4063232	10	1.2	1.5362291495737217	4.0	0.0	10	2.6	1.42828568570857	5.0	0.0	-0.015370565976724026	-2.1259782883297156	0.03904468643382774	12.096499969758751	11.241999887580002
252	4128768	10	2.9	2.947880594596735	9.0	0.0	10	3.2	2.181742422927143	7.0	0.0	-0.0162392984646492	-2.142462407326049	0.04483995578405577	11.78949997052625	21.550999784490003
256	4194304	10	2.1	3.080584360149872	11.0	0.0	10	3.2	3.1559467676119	11.0	0.0	-0.015955480306280072	-2.1399975093956836	0.038221732767508336	11.387249971531874	27.564999724350006
260	4259840	10	1.7	1.9519221295943134	6.0	0.0	10	2.0	2.0	6.0	0.0	-0.015634925711804158	-2.2011353023540914	0.03444659610618577	11.924249970189376	25.675999743240002
264	4325376	10	1.7	1.4177446878757824	5.0	0.0	10	1.8	2.5219040425836985	8.0	0.0	-0.01473339909805801	-2.1747790423750457	0.036027463052239014	11.270499971823751	15.737999842620003
268	4390912	10	3.1	4.548626166217664	16.0	0.0	10	2.5	3.263433774416144	11.0	0.0	-0.0160486827973381	-2.176997857562428	0.03120972549528124	10.652249973369374	22.35699977643
272	4456448	10	2.1	1.6401219466856725	4.0	0.0	10	4.4	4.317406628984581	15.0	0.0	-0.014953298250130222	-2.158289246036298	0.035213958060891726	10.829249972926876	16.344999836550002
276	4521984	10	1.2	1.6	5.0	0.0	10	2.9	1.8681541692269403	6.0	0.0	-0.014685600807738126	-2.2026317738185694	0.03347019164008686	10.3149999742125	9.4499999055
280	4587520	10	2.1	3.176476034853718	10.0	0.0	10	2.3	1.9519221295943134	5.0	0.0	-0.013454138981426146	-2.1698038923466996	0.04165745452388565	11.929249970176874	21.738999782610005
284	4653056	10	3.4	3.954743986657038	13.0	0.0	10	1.1	1.2206555615733703	3.0	0.0	-0.015237671896333987	-2.1683520448929388	0.041091476834444945	11.996499970008749	16.497999835020003
288	4718592	10	1.8	1.98997487421324	6.0	0.0	10	8.2	11.634431657799189	40.0	0.0	-0.015648858697696624	-2.143453297292434	0.042350474177949606	11.441999971395001	40.9399995906
292	4784128	10	2.1	2.4677925358506134	8.0	0.0	10	3.2	2.85657137141714	10.0	0.0	-0.015361925566055312	-2.1598225953912	0.0437632341202707	10.39849997400375	22.34499977655
296	4849664	10	2.4	3.2	11.0	0.0	10	6.9	11.13058848399311	40.0	1.0	-0.015635048071583342	-2.150301868492886	0.04281228497023215	11.229249971926874	34.85899965141001
300	4915200	10	3.2	3.762977544445356	12.0	0.0	10	5.1	5.957348403442592	20.0	0.0	-0.015275802721211	-2.167885397645514	0.04150809607191389	11.032999972417501	44.937999550620006
304	4980736	10	2.3	2.794637722496424	8.0	0.0	10	2.7	3.4655446902326914	12.0	0.0	-0.01578167736036068	-2.1446419331184208	0.04622508142593299	10.994249972514377	18.661999813380003
308	5046272	10	2.6	3.039736830714133	10.0	0.0	10	3.6	3.8781438859330635	12.0	0.0	-0.01566003814836199	-2.1593773809806236	0.0444722376950326	11.10049997224875	22.575999774240003
312	5111808	10	3.5	3.2939338184001206	11.0	1.0	10	3.2	2.2715633383201093	7.0	0.0	-0.01536721007466739	-2.180944382917197	0.040561995348393186	10.7389999731525	19.336999806630004
316	5177344	10	1.4	2.3748684174075834	8.0	0.0	10	7.4	11.421033228215387	40.0	0.0	-0.015010271804337665	-2.2060575855460542	0.04030533735996602	10.623249973441876	29.238999707610006
320	5242880	10	1.3	1.0049875621120892	3.0	0.0	10	2.5	1.6881943016134133	6.0	0.0	-0.015022770274553662	-2.183997260799995	0.03849549583379274	10.539499973651251	11.993999880060002
324	5308416	10	2.4	2.973213749463701	8.0	0.0	10	3.2	3.5156791662493894	12.0	0.0	-0.01565423433525249	-2.2251283971137585	0.03560144413124588	11.565249971086876	15.863999841360004
328	5373952	10	2.2	1.4696938456699067	5.0	0.0	10	3.0	3.5777087639996634	10.0	0.0	-0.013295061590249391	-2.2332126520731355	0.04057735485611002	10.383749974040626	18.073999819260006
332	5439488	10	2.8	2.5219040425836985	8.0	0.0	10	5.2	11.7285975291166	40.0	0.0	-0.015748871763992527	-2.2056543328053952	0.03863323925747127	10.507749973730625	37.29199962708001
336	5505024	10	1.8	2.08806130178211	7.0	0.0	10	2.2	2.039607805437114	6.0	0.0	-0.015643599157745755	-2.232823505765072	0.03726425479398922	10.675249973311875	16.477999835220004
340	5570560	10	1.6	1.3564659966250536	4.0	0.0	10	3.4	4.24735211631906	15.0	0.0	-0.0163967942966841	-2.232514440780782	0.03903954157509546	10.327999974179999	19.348999806510005
344	5636096	10	3.0	3.40587727318528	10.0	0.0	10	4.0	7.26636084983398	25.0	0.0	-0.015419269614449747	-2.2569841764999805	0.03743603233401308	11.0869999722825	25.835999741640002
348	5701632	10	2.5	3.442382895611701	12.0	0.0	10	3.0	3.22490309931942	11.0	0.0	-0.01573026863315897	-2.3004502502667705	0.03287663081473622	11.513249971216874	15.482999845170003
352	5767168	10	2.6	2.6153393661244038	7.0	0.0	10	7.7	11.322985472038724	40.0	0.0	-0.015345382885767127	-2.279112366101163	0.03274111189383203	11.508249971229375	34.761999652380005
356	5832704	10	2.9	5.243090691567332	16.0	0.0	10	5.1	4.011234224026316	12.0	0.0	-0.0147977848788637	-2.2656289634728743	0.03357365692150299	10.387249974031874	29.199999708000004
360	5898240	10	4.0	6.434283176858165	22.0	0.0	10	6.4	5.388877434122992	18.0	0.0	-0.013886759616443227	-2.29860497490463	0.031219663910109677	10.734249973164374	28.607999713920005
364	5963776	10	3.4	5.480875842417888	19.0	0.0	10	6.9	11.49304137293519	40.0	0.0	-0.01596978478801636	-2.250104933742741	0.03340500381349621	10.391749974020625	41.28199958718
368	6029312	10	2.8	2.9597297173897483	11.0	0.0	10	3.6	3.4985711369071804	10.0	0.0	-0.014475902962969519	-2.2704627412179357	0.03461367137912834	11.20249997199375	21.389999786100002
372	6094848	10	2.2	2.5612496949731396	8.0	0.0	10	2.8	3.4871191548325386	11.0	0.0	-0.015300948250036717	-2.2638001141574216	0.035080733356137095	11.199249972001876	13.860999861390003
376	6160384	10	1.4	1.3564659966250538	4.0	0.0	10	3.7	5.139066063011839	18.0	0.0	-0.015938957603346175	-2.2589347136647833	0.03444872233502595	11.60249997099375	18.299999817000003
380	6225920	10	2.5	2.4596747752497685	8.0	0.0	10	7.2	11.178550889985695	40.0	0.0	-0.014998571084666318	-2.2501229442795685	0.0352171433005119	10.758749973103125	40.877999591220004
384	6291456	10	1.5	1.6881943016134133	6.0	0.0	10	6.2	11.63443165779919	40.0	0.0	-0.014518456185218229	-2.2471316057089674	0.03881534621258444	11.240499971898751	32.40499967595001
388	6356992	10	7.2	12.302845199383759	40.0	0.0	10	4.6	7.0738956735309575	25.0	0.0	-0.015792321193831654	-2.2822174353010376	0.037520903216957446	11.385749971535626	36.02699963973001
392	6422528	10	7.2	11.82201336490532	40.0	0.0	10	2.7	2.282542442102666	7.0	0.0	-0.016196064198215957	-2.269814965389165	0.03576482119985524	11.304749971738124	36.633999633660004
396	6488064	10	2.3	3.195309061734091	8.0	0.0	10	8.9	11.175419455215094	40.0	0.0	-0.01544695125227386	-2.2382610636604836	0.0375442612333851	10.72249997319375	32.882999671170005
400	6553600	10	0.8	1.2489995996796797	4.0	0.0	10	11.6	14.458215657542253	40.0	1.0	-0.012785171103922962	-2.194510680705198	0.04253687899271864	10.72249997319375	31.678999683210005
404	6619136	10	1.9	2.6627053911388696	8.0	0.0	10	11.0	14.845874847916509	40.0	0.0	-0.014744636256768529	-2.1816236126137176	0.039265415627144494	11.024749972438125	29.000999709990005
408	6684672	10	3.8	7.166589146867566	25.0	0.0	10	7.0	12.425779653607254	40.0	0.0	-0.01418588950616618	-2.2309182532291323	0.03942684173018067	11.447249971381876	45.4799995452
412	6750208	10	5.5	11.723907198540937	40.0	0.0	10	10.5	14.881196188478935	40.0	0.0	-0.015359369762252316	-2.189952788025505	0.04256353507461586	11.692249970769376	34.15699965843
416	6815744	10	2.9	3.753664875824692	13.0	0.0	10	6.4	7.683749084919419	24.0	0.0	-0.0138523124585361	-2.2026598923097396	0.0391634247263766	11.965249970086877	30.509999694900007
420	6881280	10	2.1	3.207802986469088	11.0	0.0	10	5.1	4.742362280551751	15.0	1.0	-0.014322461726223638	-2.178095777602603	0.04160996281574108	12.067249969831877	32.244999677550005
424	6946816	10	3.7	3.034798181098704	8.0	0.0	10	4.2	3.059411708155671	11.0	0.0	-0.014387498455427852	-2.118589276848087	0.040130678482519576	12.076499969808749	16.17199983828
428	7012352	10	1.1	1.57797338380595	4.0	0.0	10	4.1	3.5902646142032486	11.0	0.0	-0.013866304504589174	-2.1226330248290557	0.04093916026914588	11.6129999709675	19.284999807150005
432	7077888	10	2.2	3.31058907144937	11.0	0.0	10	7.2	11.408768557561329	40.0	1.0	-0.016396894852843635	-2.2089735664609793	0.036396351037636214	10.796749973008124	37.39199962608001
436	7143424	10	2.4	2.009975124224178	6.0	0.0	10	7.1	6.0074953183502355	19.0	1.0	-0.014782917080362381	-2.1943711412647398	0.039854376398066396	10.117749974705626	29.787999702120004
440	7208960	10	4.8	4.770744176750625	13.0	0.0	10	8.0	12.84523257866513	40.0	0.0	-0.013964776971746607	-2.147117510214307	0.04060635513513497	10.76549997308625	43.16999956830001
444	7274496	10	0.6	0.6633249580710799	2.0	0.0	10	3.1	2.1656407827707715	7.0	0.0	-0.014997686289415418	-2.1233122694267377	0.03999279534105231	10.266749974333125	14.375999856240002
448	7340032	10	2.1	2.5865034312755126	8.0	0.0	10	5.7	11.550324670761423	40.0	0.0	-0.013287407689081035	-2.151383794620048	0.042344311732889335	11.89849997025375	21.06599978934
452	7405568	10	4.3	3.1638584039112754	9.0	0.0	10	5.3	5.848931526355903	18.0	0.0	-0.01344427293812277	-2.165944282981638	0.0372251043212629	11.469999971325	28.748999712510003
456	7471104	10	6.8	11.600000000000003	40.0	0.0	10	3.7	3.407345007480165	12.0	0.0	-0.013572496494009259	-2.122825227456694	0.03993435215254632	12.331749969170625	38.17999961820001
460	7536640	10	2.3	2.5317977802344322	8.0	0.0	10	15.0	16.55294535724685	40.0	0.0	-0.01576466422150385	-2.1602969962094987	0.039450838168233165	11.356249971609374	28.683999713160006
464	7602176	10	7.6	11.646458689232535	40.0	0.0	10	8.9	11.23788236279416	40.0	0.0	-0.014827558720724872	-2.2100947248620337	0.035647457442413606	11.403749971490626	50.48699949513001
468	7667712	10	4.5	5.004997502496879	17.0	0.0	10	12.6	14.56845908117945	41.0	1.0	-0.0142847379790485	-2.219231679804421	0.032051147482278886	9.862749975343124	51.59799948402001
472	7733248	10	1.8	3.627671429443411	12.0	0.0	10	10.5	14.861022845013057	40.0	0.0	-0.01495812420121499	-2.2257124754454862	0.032313505591718285	10.969249972576874	33.83699966163001
