iter	frame	n_test	mean_returns	std_returns	max_returns	min_returns	n_test_train	mean_returns_train	std_returns_train	max_returns_train	min_returns_train	actor_loss	entropy_loss	value_loss	training_time	evaluation_time
0	0	10	0.0	0.0	0.0	0.0	10	3.9	4.182104733265296	10.0	0.0	0	0	0	0.0	41.673999583260006
4	65536	10	1.6	3.0397368307141326	10.0	0.0	10	0.6	1.2	3.0	0.0	0.013520928572492945	-2.3035849206233534	0.33118269930558697	12.155249969611875	35.03099964969
8	131072	10	2.3	3.9509492530276824	10.0	0.0	10	1.0	3.0	10.0	0.0	-0.0014924041435391742	-2.1736779533545905	0.2047678348783066	11.888749970278125	33.799999662000005
12	196608	10	4.0	4.898979485566356	10.0	0.0	10	3.0	4.58257569495584	10.0	0.0	-0.001524712674374348	-2.191869906852807	0.28313534424484876	11.571249971071877	36.11799963882001
16	262144	10	5.0	5.0	10.0	0.0	10	4.0	4.898979485566356	10.0	0.0	-0.0018725068413176543	-2.2967517919929503	0.3058691563076548	11.689499970776248	37.34699962653001
20	327680	10	3.0	4.58257569495584	10.0	0.0	10	2.0	4.0	10.0	0.0	-0.0021963537896364073	-2.3001916406142784	0.33780052082509204	11.938249970154375	36.297999637020006
24	393216	10	4.0	4.898979485566356	10.0	0.0	10	2.0	4.0	10.0	0.0	-0.0031920458383268915	-2.353558001173746	0.36067388839367087	11.058999972352499	37.705999622940006
28	458752	10	3.0	4.58257569495584	10.0	0.0	10	1.0	3.0	10.0	0.0	-0.0035939912894916272	-2.412406888849577	0.3672642715203161	11.064749972338126	38.73799961262001
32	524288	10	6.0	4.898979485566356	10.0	0.0	10	5.0	5.0	10.0	0.0	-0.003197891972043851	-2.4174390780394406	0.41123477116910506	10.564999973587499	31.526999684730008
36	589824	10	3.0	4.58257569495584	10.0	0.0	10	5.0	5.0	10.0	0.0	-0.004508880490433136	-2.4888365216444197	0.2610620682166275	11.019499972451252	37.748999622510006
40	655360	10	2.0	4.0	10.0	0.0	10	4.0	4.898979485566356	10.0	0.0	-0.003951709654042195	-2.491204124926307	0.3514710856856362	10.839749972900623	38.77799961222001
44	720896	10	3.0	4.58257569495584	10.0	0.0	10	4.0	4.898979485566356	10.0	0.0	-0.005078466669224342	-2.4560422422910384	0.3481005991756906	11.030249972424375	38.71099961289001
48	786432	10	4.0	4.898979485566356	10.0	0.0	10	3.0	4.58257569495584	10.0	0.0	-0.004802357067804503	-2.4981492432336507	0.2924215270212167	11.146999972132498	30.380999696190006
52	851968	10	2.0	4.0	10.0	0.0	10	6.0	4.898979485566356	10.0	0.0	-0.004546236457353469	-2.5256915536872167	0.28052298271589976	10.58949997352625	33.676999663230006
