iter	frame	n_test	mean_returns	std_returns	max_returns	min_returns	n_test_train	mean_returns_train	std_returns_train	max_returns_train	min_returns_train	actor_loss	entropy_loss	value_loss	training_time	evaluation_time
0	0	10	1.0	2.4083189157584592	8.0	0.0	10	0.2	0.6000000000000001	2.0	0.0	0	0	0	0.0	23.964999760350004
4	65536	10	0.6	0.9165151389911679	2.0	0.0	10	0.8	1.6000000000000003	4.0	0.0	0.005251453031995459	-2.622439255043881	0.08550753214592376	12.26349996934125	42.49399957506001
8	131072	10	1.2	1.32664991614216	4.0	0.0	10	0.4	0.8000000000000002	2.0	0.0	-0.004095100513523882	-2.5836855691960263	0.06593688052857767	11.60949997097625	8.493999915060002
12	196608	10	1.0	1.3416407864998738	4.0	0.0	10	0.2	0.6000000000000001	2.0	0.0	-0.005116594740151398	-2.5094873530038804	0.060514269661994885	10.317499974206251	7.295999927040001
16	262144	10	2.0	2.9664793948382653	10.0	0.0	10	1.8	2.4413111231467406	8.0	0.0	-0.004896532171283847	-2.4783677878381054	0.05670650970220952	11.73749997065625	23.843999761560006
20	327680	10	1.2	1.32664991614216	4.0	0.0	10	2.0	2.8284271247461903	8.0	0.0	-0.006031441385229486	-2.3668653118131715	0.05174091706134336	11.267749971830625	24.744999752550005
24	393216	10	3.0	2.8635642126552705	8.0	0.0	10	2.2	2.2715633383201093	8.0	0.0	-0.007089254249138366	-2.2455292018895734	0.06015949912984353	10.653999973365	23.98699976013
28	458752	10	1.2	1.32664991614216	4.0	0.0	10	0.6	1.2806248474865698	4.0	0.0	-0.008493393406473749	-2.267390019955483	0.04942258109289424	11.277249971806878	5.433999945660001
32	524288	10	1.0	1.3416407864998738	4.0	0.0	10	2.4	1.9595917942265424	6.0	0.0	-0.0075718068429821705	-2.3650212881485713	0.045595704611918766	10.678749973303127	31.691999683080006
36	589824	10	1.2	2.4	8.0	0.0	10	2.6	2.3748684174075834	8.0	0.0	-0.007481419616375631	-2.419976904736208	0.043805770649047324	11.043249972391873	26.336999736630005
40	655360	10	1.8	2.6	8.0	0.0	10	1.2	2.0396078054371136	6.0	0.0	-0.007654521649895567	-2.3865537268417594	0.03784266383536225	12.002249969994375	17.482999825170005
44	720896	10	2.0	1.7888543819998317	6.0	0.0	10	1.6	1.9595917942265426	6.0	0.0	-0.00864754306925798	-2.3491875725524323	0.04069318144623986	12.418249968954374	39.648999603510006
48	786432	10	0.0	0.0	0.0	0.0	10	2.8	1.8330302779823362	6.0	0.0	-0.009050360996264717	-2.3388321546264046	0.03610323173161154	12.017749969955625	19.40399980596
52	851968	10	2.0	2.1908902300206643	6.0	0.0	10	2.2	2.891366458960192	10.0	0.0	-0.009713680251983655	-2.3406495076959977	0.03028310443114448	12.672249968319376	16.633999833660003
56	917504	10	1.0	1.3416407864998738	4.0	0.0	10	2.4	2.939387691339814	8.0	0.0	-0.006954325004580978	-2.321137025710554	0.0403320906292544	11.467249971331878	42.76499957235001
60	983040	10	1.2	2.0396078054371136	6.0	0.0	10	2.8	5.878775382679627	20.0	0.0	-0.00867213555375816	-2.3193978192973073	0.036494402482719006	11.046999972382501	15.489999845100003
64	1048576	10	2.2	2.2715633383201093	6.0	0.0	10	2.4	2.65329983228432	6.0	0.0	-0.008814680537086223	-2.3273831032275716	0.035715550782008665	11.000249972499377	42.50899957491001
68	1114112	10	1.2	1.32664991614216	4.0	0.0	10	1.0	1.3416407864998738	4.0	0.0	-0.00807127042608855	-2.2748087220007864	0.03956073917967752	10.894249972764374	11.780999882190002
72	1179648	10	1.6	1.7435595774162693	4.0	0.0	10	1.0	1.3416407864998738	4.0	0.0	-0.008507717210728141	-2.1880103471582832	0.03419314367185244	12.566749968583126	6.8219999317800015
76	1245184	10	1.8	1.4000000000000001	4.0	0.0	10	0.6	1.2806248474865698	4.0	0.0	-0.00894744648543737	-2.1719256264689135	0.034118398651807186	11.379249971551873	13.909999860900003
80	1310720	10	1.8	2.2715633383201097	6.0	0.0	10	2.6	2.3748684174075834	6.0	0.0	-0.010082799732886262	-2.2327440900264977	0.02973406317256481	10.681249973296875	29.231999707680004
84	1376256	10	2.4	2.4979991993593593	8.0	0.0	10	2.0	2.0	6.0	0.0	-0.010508819215340795	-2.2933940040663083	0.030072915228831643	11.195999972010002	22.006999779930005
88	1441792	10	1.8	1.0770329614269007	4.0	0.0	10	1.4	2.009975124224178	6.0	0.0	-0.00942831956149665	-2.2322276108125187	0.037340656830920076	11.806249970484375	16.0399998396
92	1507328	10	1.2	0.9797958971132712	2.0	0.0	10	1.2	1.32664991614216	4.0	0.0	-0.009119968540249344	-2.2582018199197553	0.0367345178927214	13.092499967268749	3.9159999608400007
96	1572864	10	0.8	1.32664991614216	4.0	0.0	10	2.2	2.08806130178211	6.0	0.0	-0.010249294921619478	-2.2254117327597225	0.03688580327050238	10.089749974775623	9.345999906540001
100	1638400	10	1.2	1.6	4.0	0.0	10	2.4	1.4966629547095764	4.0	0.0	-0.011053381886753439	-2.1977810509697058	0.030408510353042616	11.554999971112501	26.560999734390006
104	1703936	10	1.0	1.3416407864998738	4.0	0.0	10	2.0	2.0	6.0	0.0	-0.009693940287940126	-2.200330021251518	0.030232346555328523	11.436749971408124	39.306999606930006
108	1769472	10	1.2	1.6	4.0	0.0	10	2.0	1.5491933384829668	4.0	0.0	-0.008526316353124268	-2.1878944707617984	0.04014043222384251	11.638749970903126	23.106999768930002
112	1835008	10	2.4	1.2000000000000002	4.0	0.0	10	1.6	1.9595917942265424	6.0	0.0	-0.00945474120718893	-2.220644446479428	0.03544005200208111	12.118499969703752	21.203999787960004
116	1900544	10	0.8	0.9797958971132713	2.0	0.0	10	2.4	2.8000000000000003	8.0	0.0	-0.010060526210067481	-2.256759248438837	0.034283283492859584	12.493749968765623	13.847999861520004
120	1966080	10	2.2	1.886796226411321	6.0	0.0	10	1.6	1.2000000000000002	4.0	0.0	-0.01094087369111874	-2.2048771478422498	0.03974022015437651	9.716749975708126	23.9899997601
124	2031616	10	1.0	1.3416407864998738	4.0	0.0	10	2.0	1.7888543819998317	4.0	0.0	-0.010045015193872603	-2.280675815801674	0.0345415952191408	11.076749972308127	28.429999715700003
128	2097152	10	1.0	1.3416407864998738	4.0	0.0	10	2.2	2.08806130178211	6.0	0.0	-0.011044253492159508	-2.2903263044951774	0.03530459520815367	11.611499970971252	20.56299979437
132	2162688	10	1.4	1.562049935181331	4.0	0.0	10	2.4	1.4966629547095767	4.0	0.0	-0.010222311060257089	-2.2997446057785096	0.03454021695874328	11.21349997196625	34.91299965087
136	2228224	10	2.2	2.08806130178211	6.0	0.0	10	1.0	1.61245154965971	4.0	0.0	-0.010271814257815589	-2.2862483111622622	0.027783908141055847	10.972999972567502	40.96499959035001
140	2293760	10	1.4	1.562049935181331	4.0	0.0	10	2.6	1.8000000000000003	6.0	0.0	-0.009856888419445627	-2.262781696779261	0.033986337867440056	11.315999971710001	39.882999601170006
144	2359296	10	0.8	1.32664991614216	4.0	0.0	10	4.2	3.4	10.0	0.0	-0.01101365475073051	-2.2791862808277306	0.027383119854551972	11.01599997246	23.533999764660003
148	2424832	10	2.0	2.0	6.0	0.0	10	3.2	1.8330302779823362	6.0	0.0	-0.010071546165678664	-2.254913752042805	0.025667327434100044	12.4629999688425	24.945999750540004
152	2490368	10	2.4	3.0724582991474434	10.0	0.0	10	2.6	2.5377155080899043	6.0	0.0	-0.010224815701951464	-2.2760430596881505	0.028667326315113914	12.185749969535625	21.919999780800005
