iter	frame	n_test	mean_returns	std_returns	max_returns	min_returns	n_test_train	mean_returns_train	std_returns_train	max_returns_train	min_returns_train	actor_loss	entropy_loss	value_loss	training_time	evaluation_time
0	0	10	2.0	4.0	10.0	0.0	10	1.0	3.0	10.0	0.0	0	0	0	0.0	40.20699959793001
4	65536	10	4.0	4.898979485566356	10.0	0.0	10	4.0	4.898979485566356	10.0	0.0	0.00044977788270306136	-2.584353295196107	0.40226526197201945	11.150749972123126	46.96899953031001
8	131072	10	8.0	4.0	10.0	0.0	10	5.0	5.0	10.0	0.0	-0.0035104738995850645	-2.5919926908892488	0.48609160254302575	10.28749997428125	44.82099955179
12	196608	10	2.0	4.0	10.0	0.0	10	3.0	4.58257569495584	10.0	0.0	-0.004772729620635832	-2.6412900261313124	0.38097465856999346	11.855499970361251	40.02399959976001
16	262144	10	3.0	4.58257569495584	10.0	0.0	10	7.0	4.58257569495584	10.0	0.0	-0.006654126990941118	-2.6262482824172753	0.6192378190011463	11.705999970735	31.123999688760005
20	327680	10	7.0	4.58257569495584	10.0	0.0	10	5.0	5.0	10.0	0.0	-0.006780724127769087	-2.6057862214513254	0.7842388555832371	11.606249970984374	28.077999719220003
24	393216	10	6.0	4.898979485566356	10.0	0.0	10	9.0	3.0	10.0	0.0	-0.007160971728668758	-2.560877439609639	0.7629913482020244	10.5869999735325	32.10099967899001
28	458752	10	7.0	4.58257569495584	10.0	0.0	10	5.0	5.0	10.0	0.0	-0.007279587329169696	-2.5422991908922	0.7647762012181752	11.154749972113125	33.38299966617001
32	524288	10	5.0	5.0	10.0	0.0	10	4.0	4.898979485566356	10.0	0.0	-0.010700619889977222	-2.493091796575566	0.7426908220322164	12.306249969234376	21.006999789930006
36	589824	10	5.0	5.0	10.0	0.0	10	5.0	5.0	10.0	0.0	-0.009555781666591021	-2.483099964499104	0.5858114395301274	11.421999971445	44.32899955671001
40	655360	10	5.0	5.0	10.0	0.0	10	8.0	4.0	10.0	0.0	-0.010833726258557228	-2.471207774918154	0.46561779294279854	11.0309999724225	40.56299959437001
44	720896	10	5.0	5.0	10.0	0.0	10	7.0	4.58257569495584	10.0	0.0	-0.01045261851820169	-2.4390578391594153	0.4726001259688976	11.855249970361875	39.09599960904
48	786432	10	6.0	4.898979485566356	10.0	0.0	10	6.0	4.898979485566356	10.0	0.0	-0.00939021009640587	-2.424956758564437	0.45301421416550675	12.616499968458752	22.316999776830002
52	851968	10	3.0	4.58257569495584	10.0	0.0	10	9.0	3.0	10.0	0.0	-0.008976642414962543	-2.4232432293354513	0.36633847587961615	12.803749967990626	31.226999687730004
56	917504	10	5.0	5.0	10.0	0.0	10	4.0	4.898979485566356	10.0	0.0	-0.009937605168362843	-2.3990722767993202	0.37998763933544893	12.384749969038124	35.635999643640005
60	983040	10	2.0	4.0	10.0	0.0	10	9.0	3.0	10.0	0.0	-0.008027012730733361	-2.3786703370517275	0.3592339877906755	12.805499967986249	21.979999780200004
64	1048576	10	4.0	4.898979485566356	10.0	0.0	10	7.0	4.58257569495584	10.0	0.0	-0.009138505870960226	-2.341956930611956	0.34946106929417087	12.21349996946625	37.81999962180001
68	1114112	10	3.0	4.58257569495584	10.0	0.0	10	7.0	4.58257569495584	10.0	0.0	-0.009652223754735897	-2.3666547608890514	0.2326603854453601	12.797749968005625	41.12799958872001
72	1179648	10	4.0	4.898979485566356	10.0	0.0	10	7.0	4.58257569495584	10.0	0.0	-0.011621094157213222	-2.2665750133617046	0.26338333323337854	11.618749970953125	40.55599959444
76	1245184	10	7.0	4.58257569495584	10.0	0.0	10	8.0	4.0	10.0	0.0	-0.00880386898794162	-2.1803831182632547	0.3416547203701485	12.9809999675475	36.319999636800006
80	1310720	10	4.0	4.898979485566356	10.0	0.0	10	7.0	4.58257569495584	10.0	0.0	-0.010659940532404188	-2.2649211210633373	0.23312603121057643	11.841999970395001	39.62899960371001
84	1376256	10	7.0	4.58257569495584	10.0	0.0	10	10.0	0.0	10.0	10.0	-0.008863633863849365	-2.1997665164563434	0.27996750421389266	12.768249968079376	21.479999785200004
88	1441792	10	4.0	4.898979485566356	10.0	0.0	10	6.0	4.898979485566356	10.0	0.0	-0.0098179690044546	-2.2122490304390876	0.25320173160950327	12.127749969680625	41.907999580920006
92	1507328	10	8.0	4.0	10.0	0.0	10	7.0	4.58257569495584	10.0	0.0	-0.009684858524958541	-2.131559677200009	0.3003993305685628	11.697749970755625	23.552999764470005
96	1572864	10	4.0	4.898979485566356	10.0	0.0	10	7.0	4.58257569495584	10.0	0.0	-0.00919583422268877	-2.089442624182409	0.2770818494903007	11.45149997137125	27.493999725060004
100	1638400	10	4.0	4.898979485566356	10.0	0.0	10	6.0	4.898979485566356	10.0	0.0	-0.008828704649497157	-2.0577408321541846	0.30057784415134003	12.612249968469376	39.70199960298
104	1703936	10	4.0	4.898979485566356	10.0	0.0	10	8.0	4.0	10.0	0.0	-0.010030923715795446	-2.047805593446167	0.25605698858514475	11.999249970001875	41.219999587800004
108	1769472	10	2.0	4.0	10.0	0.0	10	9.0	3.0	10.0	0.0	-0.006984402495193892	-2.011120180079459	0.2830105468646429	11.73199997067	40.56899959431001
112	1835008	10	8.0	4.0	10.0	0.0	10	7.0	4.58257569495584	10.0	0.0	-0.007895523903330927	-1.9601686271970087	0.32163668389496597	10.932749972668123	41.631999583680006
116	1900544	10	3.0	4.58257569495584	10.0	0.0	10	9.0	3.0	10.0	0.0	-0.007468325269484285	-1.8506391555626653	0.3165380083626097	11.861999970345	24.248999757510003
120	1966080	10	6.0	4.898979485566356	10.0	0.0	10	3.0	4.58257569495584	10.0	0.0	-0.007512417686611646	-1.823608425566336	0.34939667439173966	12.751499968121252	37.50299962497001
124	2031616	10	3.0	4.58257569495584	10.0	0.0	10	8.0	4.0	10.0	0.0	-0.007420760319125063	-1.8925480716442582	0.25856461497434724	11.648499970878753	41.432999585670004
128	2097152	10	4.0	4.898979485566356	10.0	0.0	10	6.0	4.898979485566356	10.0	0.0	-0.007654949287028339	-1.831281016079561	0.380826350727496	11.05549997236125	29.500999704990004
132	2162688	10	5.0	5.0	10.0	0.0	10	8.0	4.0	10.0	0.0	-0.0058132772361818965	-1.8124694760242588	0.35054162948155704	10.598999973502501	40.33299959667001
136	2228224	10	3.0	4.58257569495584	10.0	0.0	10	10.0	0.0	10.0	10.0	-0.005733579794356639	-1.9253990673006645	0.36169440745644127	11.1169999722075	23.30399976696
140	2293760	10	3.0	4.58257569495584	10.0	0.0	10	8.0	4.0	10.0	0.0	-0.008160011664948567	-2.0230476618189295	0.31767478224927126	11.5389999711525	24.130999758690002
144	2359296	10	3.0	4.58257569495584	10.0	0.0	10	8.0	4.0	10.0	0.0	-0.008680279166891668	-2.0158255868043753	0.22849133150445017	12.2729999693175	28.526999714730007
148	2424832	10	8.0	4.0	10.0	0.0	10	7.0	4.58257569495584	10.0	0.0	-0.0074695938423954625	-2.090150212030442	0.30018498900634377	11.098749972253126	26.274999737250003
152	2490368	10	5.0	5.0	10.0	0.0	10	7.0	4.58257569495584	10.0	0.0	-0.009540603327793442	-2.089216875315636	0.20920196437270797	9.599249976001875	47.81599952184001
156	2555904	10	5.0	5.0	10.0	0.0	10	5.0	5.0	10.0	0.0	-0.009278336056259525	-2.0398009926439435	0.2760260274035797	11.267999971830001	42.07799957922001
160	2621440	10	5.0	5.0	10.0	0.0	10	6.0	4.898979485566356	10.0	0.0	-0.008553274086522868	-2.0813232831972415	0.2007496137894192	13.056749967358126	38.960999610390004
164	2686976	10	3.0	4.58257569495584	10.0	0.0	10	8.0	4.0	10.0	0.0	-0.008977866058835457	-2.025622396208443	0.23912228920800108	12.659499968351252	38.96799961032001
168	2752512	10	7.0	4.58257569495584	10.0	0.0	10	6.0	4.898979485566356	10.0	0.0	-0.008290676045105205	-2.158712203079107	0.2306053537324759	11.813249970466876	27.672999723270003
172	2818048	10	6.0	4.898979485566356	10.0	0.0	10	7.0	4.58257569495584	10.0	0.0	-0.00752638561407789	-2.2163554328358153	0.16412393304672374	11.463749971340626	21.845999781540005
176	2883584	10	6.0	4.898979485566356	10.0	0.0	10	9.0	3.0	10.0	0.0	-0.008343560176439852	-2.158068798257619	0.18413417318780434	11.877499970306252	22.223999777760003
